team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1680,24.0,0.1739,420,6.0,1680,34567.75,493.825,1155811.41,0.0,2660,10500,18970.0,11.2917,420,840,2
raspberry,macaron,마카롱,840,12.0,0.087,0,0.0,980,0.0,0.0,107996.29,334152.76,0,1400,7770.0,9.25,0,280,2
raspberry,pie,파이,3780,54.0,0.3913,700,10.0,3780,97331.68,1390.4526,717871.0,0.0,3080,5320,33740.0,8.9259,280,560,4
raspberry,scone,스콘,840,12.0,0.087,280,4.0,840,100247.41,1432.1058,306628.73,0.0,1260,2940,11060.0,13.1667,140,1120,5
raspberry,tart,타르트,2520,36.0,0.2609,5880,84.0,2520,764144.25,10916.3464,849325.82,0.0,23380,3080,81620.0,32.3889,10080,1680,5
blueberry,baumkuchen,바움쿠헨,140,2.0,0.0152,0,0.0,140,4089.95,58.4278,40110.34,0.0,140,700,3360.0,24.0,0,0,0
blueberry,pannacotta,판나코타,1400,20.0,0.1515,5040,72.0,1260,1180916.23,16870.2318,37178.97,0.0,980,1680,14140.0,10.1,140,560,4
blueberry,pie,파이,5460,78.0,0.5909,980,14.0,4760,493599.3,7051.4186,474146.58,0.0,9800,15680,133140.0,24.3846,1960,6020,10
blueberry,scone,스콘,700,10.0,0.0758,3080,44.0,560,813685.31,11624.0758,137210.47,0.0,5880,3360,28420.0,40.6,840,840,3
blueberry,tarte_tatin,타르트·타탱,1540,22.0,0.1667,700,10.0,1540,645342.47,9219.1782,307644.72,0.0,6440,8960,59920.0,38.9091,1540,3500,10
