team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2520,36.0,0.2143,700,10.0,1680,180034.82,2571.926,1578956.83,0.0,13160,21560,51450.0,20.4167,3220,1540,3
raspberry,macaron,마카롱,5040,72.0,0.4286,0,0.0,8680,0.0,0.0,1971206.73,3058102.19,0,25760,212310.0,42.125,0,2660,4
raspberry,pie,파이,1960,28.0,0.1667,2380,34.0,1540,339661.84,4852.312,346287.09,0.0,10500,1120,29050.0,14.8214,2800,700,4
raspberry,scone,스콘,560,8.0,0.0476,1120,16.0,420,195816.21,2797.3744,153314.36,0.0,2660,840,12810.0,22.875,280,0,0
raspberry,tart,타르트,1680,24.0,0.1429,5880,84.0,1120,1189926.86,16998.9552,606723.67,0.0,21420,9240,46410.0,27.625,2100,560,2
blueberry,baumkuchen,바움쿠헨,4340,62.0,0.4026,1680,24.0,3920,629571.49,8993.8784,1177904.57,0.0,22260,36540,87850.0,20.2419,2100,4340,3
blueberry,pannacotta,판나코타,140,2.0,0.013,1260,18.0,140,540939.21,7727.703,5074.24,0.0,140,0,1050.0,7.5,0,0,0
blueberry,pie,파이,5320,76.0,0.4935,4200,60.0,5180,1048633.84,14980.4834,501347.34,0.0,21980,7000,88620.0,16.6579,2520,1820,3
blueberry,scone,스콘,560,8.0,0.0519,5880,84.0,560,922052.94,13172.1848,137210.47,0.0,8540,2520,21000.0,37.5,700,1540,2
blueberry,tarte_tatin,타르트·타탱,420,6.0,0.039,420,6.0,420,1515291.22,21647.0174,83903.11,0.0,5600,1680,22260.0,53.0,140,700,2
