match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,0,1,time
1,2,blueberry,130.0,-3,0,1,blueberry_full_control
1,3,blueberry,130.0,-3,0,1,blueberry_full_control
2,1,raspberry,180.0,3,0,1,time
2,2,blueberry,130.0,-3,0,1,blueberry_full_control
2,3,blueberry,130.0,-3,0,1,blueberry_full_control
3,1,raspberry,175.5,3,0,1,raspberry_full_control
3,2,raspberry,180.0,3,0,1,time
4,1,raspberry,175.5,3,0,1,raspberry_full_control
4,2,raspberry,180.0,3,0,1,time
5,1,raspberry,175.5,3,0,1,raspberry_full_control
5,2,raspberry,180.0,3,0,1,time
6,1,raspberry,180.0,3,0,1,time
6,2,blueberry,130.0,-3,0,1,blueberry_full_control
6,3,blueberry,130.0,-3,0,1,blueberry_full_control
7,1,raspberry,180.0,3,0,1,time
7,2,blueberry,130.0,-3,0,1,blueberry_full_control
7,3,blueberry,130.0,-3,0,1,blueberry_full_control
8,1,raspberry,180.0,3,0,1,time
8,2,blueberry,130.0,-3,0,1,blueberry_full_control
8,3,blueberry,130.0,-3,0,1,blueberry_full_control
9,1,raspberry,175.5,3,0,1,raspberry_full_control
9,2,raspberry,180.0,2,0,1,time
10,1,raspberry,175.5,3,0,1,raspberry_full_control
10,2,raspberry,180.0,2,0,1,time
11,1,raspberry,180.0,3,0,1,time
11,2,blueberry,130.0,-3,0,1,blueberry_full_control
11,3,blueberry,130.0,-3,0,1,blueberry_full_control
12,1,raspberry,180.0,3,0,1,time
12,2,blueberry,130.0,-3,0,1,blueberry_full_control
12,3,blueberry,130.0,-3,0,1,blueberry_full_control
13,1,raspberry,180.0,3,0,1,time
13,2,blueberry,130.0,-3,0,1,blueberry_full_control
13,3,blueberry,130.0,-3,0,1,blueberry_full_control
14,1,raspberry,175.5,3,0,1,raspberry_full_control
14,2,blueberry,180.0,-1,0,1,time
14,3,raspberry,180.0,2,0,1,time
15,1,raspberry,180.0,3,0,1,time
15,2,blueberry,130.0,-3,0,1,blueberry_full_control
15,3,blueberry,130.0,-3,0,1,blueberry_full_control
16,1,raspberry,175.5,3,0,1,raspberry_full_control
16,2,blueberry,180.0,-1,0,1,time
16,3,blueberry,180.0,-1,0,1,time
17,1,raspberry,180.0,3,0,1,time
17,2,blueberry,130.0,-3,0,1,blueberry_full_control
17,3,blueberry,130.0,-3,0,1,blueberry_full_control
18,1,raspberry,180.0,3,0,1,time
18,2,blueberry,130.0,-3,0,1,blueberry_full_control
18,3,blueberry,130.0,-3,0,1,blueberry_full_control
