team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,700,10.0,0.084,70,1.0,770,29082.11,415.4587,623631.92,0.0,2100,14490,6860.0,9.8,0,5740,11
raspberry,macaron,마카롱,6790,97.0,0.8151,0,0.0,14630,0.0,0.0,2476358.41,2410439.56,0,61530,193830.0,28.5464,0,12320,21
raspberry,pie,파이,630,9.0,0.0756,560,8.0,910,186402.55,2662.8935,150312.16,0.0,5390,3360,8050.0,12.7778,0,2730,11
raspberry,scone,스콘,140,2.0,0.0168,420,6.0,140,140251.76,2003.5966,78142.01,0.0,1750,490,3500.0,25.0,0,210,4
raspberry,tart,타르트,70,1.0,0.0084,0,0.0,70,44399.64,634.2805,20137.63,0.0,140,0,210.0,3.0,0,0,0
blueberry,baumkuchen,바움쿠헨,4480,64.0,0.4848,3850,55.0,980,1259281.79,17989.7398,372579.27,0.0,45920,8890,249725.0,55.7422,11830,0,0
blueberry,pannacotta,판나코타,280,4.0,0.0303,2100,30.0,210,258497.76,3692.8251,0.0,0.0,210,0,2695.0,9.625,0,0,0
blueberry,pie,파이,3920,56.0,0.4242,7420,106.0,70,1272041.22,18172.0174,27556.78,0.0,27650,490,240695.0,61.4018,7070,0,0
blueberry,scone,스콘,280,4.0,0.0303,2660,38.0,0,214588.03,3065.5433,0.0,0.0,2660,0,12285.0,43.875,560,0,0
blueberry,tarte_tatin,타르트·타탱,280,4.0,0.0303,490,7.0,0,344173.34,4916.762,0.0,0.0,3430,0,25270.0,90.25,1540,0,0
