raspberry_strategy,blueberry_strategy,raspberry_win_rate,blueberry_win_rate,avg_final_control,avg_round_duration,raspberry_detected_dominant,blueberry_detected_dominant,strategy_diversity_penalty
tank_focus,tank_focus,0.0,1.0,-3.0,136.0,tank_focus,tank_focus,0.95
tank_focus,tank_aoe_focus,0.0,1.0,-3.0,145.5,tank_focus,mixed_composition,0.525904
tank_focus,ranged_focus,0.0,1.0,-3.0,135.0,tank_focus,swarm_focus,0.525904
tank_focus,swarm_focus,0.0,1.0,-3.0,127.0,tank_focus,swarm_focus,0.525904
tank_focus,special_focus,0.0,1.0,-3.0,180.0,tank_focus,swarm_focus,0.525904
tank_focus,upgrade_focus,0.0,1.0,-3.0,148.1429,tank_focus,upgrade_focus,0.375716
tank_focus,mixed,0.0,1.0,-3.0,133.5,tank_focus,swarm_focus,0.525904
tank_aoe_focus,tank_focus,1.0,0.0,1.0,180.0,tank_aoe_focus,tank_focus,0.525904
tank_aoe_focus,tank_aoe_focus,1.0,0.0,3.0,174.5,tank_aoe_focus,ranged_focus,0.525904
tank_aoe_focus,ranged_focus,1.0,0.0,3.0,180.0,tank_aoe_focus,ranged_focus,0.525904
tank_aoe_focus,swarm_focus,1.0,0.0,2.0,180.0,tank_focus,swarm_focus,0.525904
tank_aoe_focus,special_focus,0.0,1.0,-2.0,180.0,tank_aoe_focus,swarm_focus,0.525904
tank_aoe_focus,upgrade_focus,0.2714,0.7286,-1.0123,179.3056,mixed_composition,upgrade_focus,0.558468
tank_aoe_focus,mixed,0.0,1.0,-2.0,180.0,tank_focus,swarm_focus,0.525904
ranged_focus,tank_focus,1.0,0.0,3.0,166.0,mixed_composition,tank_focus,0.525904
ranged_focus,tank_aoe_focus,1.0,0.0,3.0,154.0,mixed_composition,ranged_focus,0.525904
ranged_focus,ranged_focus,1.0,0.0,3.0,180.0,ranged_focus,ranged_focus,0.95
ranged_focus,swarm_focus,1.0,0.0,3.0,137.0,mixed_composition,swarm_focus,0.525904
ranged_focus,special_focus,1.0,0.0,3.0,162.5,ranged_focus,mixed_composition,0.525904
ranged_focus,upgrade_focus,0.4714,0.5286,0.3388,160.0137,mixed_composition,swarm_focus,0.49116
ranged_focus,mixed,1.0,0.0,3.0,177.5,mixed_composition,mixed_composition,0.95
swarm_focus,tank_focus,0.9714,0.0286,0.9234,140.0096,upgrade_focus,mixed_composition,0.483241
swarm_focus,tank_aoe_focus,0.0,1.0,-3.0,123.0,swarm_focus,mixed_composition,0.525904
swarm_focus,ranged_focus,0.0,1.0,-3.0,112.0,swarm_focus,mixed_composition,0.525904
swarm_focus,swarm_focus,0.2143,0.7857,-1.8129,139.9,upgrade_focus,swarm_focus,0.514675
swarm_focus,special_focus,0.0,1.0,-3.0,172.5,swarm_focus,swarm_focus,0.95
swarm_focus,upgrade_focus,0.0,1.0,-2.4027,140.557,swarm_focus,upgrade_focus,0.557626
swarm_focus,mixed,0.0,1.0,-3.0,117.0,swarm_focus,swarm_focus,0.95
special_focus,tank_focus,0.0,1.0,-3.0,136.5,special_focus,mixed_composition,0.525904
special_focus,tank_aoe_focus,0.0,1.0,-3.0,115.0,special_focus,tank_aoe_focus,0.525904
special_focus,ranged_focus,0.0,1.0,-3.0,102.5,special_focus,mixed_composition,0.525904
special_focus,swarm_focus,0.0,1.0,-2.8714,117.7036,special_focus,upgrade_focus,0.411773
special_focus,special_focus,0.0,1.0,-3.0,110.0,special_focus,swarm_focus,0.525904
special_focus,upgrade_focus,0.0,1.0,-2.2563,139.1312,special_focus,upgrade_focus,0.377586
special_focus,mixed,0.0,1.0,-3.0,109.0,special_focus,swarm_focus,0.525904
upgrade_focus,tank_focus,1.0,0.0,2.8723,172.3759,mixed_composition,tank_focus,0.347281
upgrade_focus,tank_aoe_focus,1.0,0.0,2.4354,162.0952,mixed_composition,tank_aoe_focus,0.251429
upgrade_focus,ranged_focus,0.9857,0.0143,2.0696,161.6677,mixed_composition,ranged_focus,0.38321
upgrade_focus,swarm_focus,1.0,0.0,2.7241,158.7931,upgrade_focus,swarm_focus,0.500321
upgrade_focus,special_focus,0.3571,0.6429,-0.2216,178.7585,mixed_composition,swarm_focus,0.554366
upgrade_focus,upgrade_focus,0.4,0.6,-1.339,169.6582,mixed_composition,upgrade_focus,0.484807
upgrade_focus,mixed,0.8,0.2,1.319,173.5644,mixed_composition,swarm_focus,0.315838
mixed,tank_focus,1.0,0.0,0.0,180.0,mixed_composition,mixed_composition,0.95
mixed,tank_aoe_focus,0.9,0.1,1.7763,170.9342,mixed_composition,tank_aoe_focus,0.634385
mixed,ranged_focus,0.0,1.0,-3.0,133.0,ranged_focus,mixed_composition,0.525904
mixed,swarm_focus,1.0,0.0,3.0,155.5,mixed_composition,swarm_focus,0.525904
mixed,special_focus,0.0,1.0,-2.0,180.0,mixed_composition,mixed_composition,0.95
mixed,upgrade_focus,0.0143,0.9857,-1.0242,154.314,mixed_composition,swarm_focus,0.371786
mixed,mixed,0.0,1.0,-1.0,180.0,mixed_composition,swarm_focus,0.525904
