team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,93,1.3286,0.0067,5,0.0714,81,1829.14,26.1305,65410.75,0.0,101,912,768.5,8.2634,3,220,10
raspberry,macaron,마카롱,259,3.7,0.0188,0,0.0,167,0.0,0.0,27778.81,38111.16,0,451,3828.5,14.7819,0,123,8
raspberry,pie,파이,13274,189.6286,0.961,5146,73.5143,11078,558474.34,7978.2048,1988438.95,0.0,16295,22715,173842.0,13.0964,4111,7108,13
raspberry,scone,스콘,47,0.6714,0.0034,80,1.1429,37,7743.02,110.6146,16898.97,0.0,114,177,730.0,15.5319,2,48,11
raspberry,tart,타르트,139,1.9857,0.0101,376,5.3714,89,66228.1,946.1157,31738.79,0.0,1500,240,4716.0,33.9281,92,100,6
blueberry,baumkuchen,바움쿠헨,402,5.7429,0.0326,1,0.0143,111,5686.9,81.2414,39185.85,0.0,193,1040,21591.5,53.7102,35,50,4
blueberry,pannacotta,판나코타,235,3.3571,0.019,274,3.9143,107,51273.07,732.4724,1022.06,0.0,97,32,3655.0,15.5532,30,12,11
blueberry,pie,파이,11073,158.1857,0.8967,2503,35.7571,5443,678920.65,9698.8664,580277.25,0.0,13064,16700,427423.0,38.6005,3806,4070,13
blueberry,scone,스콘,295,4.2143,0.0239,8229,117.5571,24,1206202.53,17231.4647,8409.17,0.0,9331,98,32866.5,111.4119,2842,17,5
blueberry,tarte_tatin,타르트·타탱,343,4.9,0.0278,445,6.3571,19,188183.13,2688.3305,5380.27,0.0,1810,140,15568.5,45.3892,886,59,9
