team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,324,4.6286,0.0171,13,0.1857,32,5679.69,81.1384,45434.36,0.0,304,777,9657.5,29.8071,81,33,6
raspberry,macaron,마카롱,445,6.3571,0.0234,0,0.0,84,0.0,0.0,25820.73,102152.9,0,586,14310.5,32.1584,0,14,2
raspberry,pie,파이,18030,257.5714,0.9496,6932,99.0286,8638,1459708.57,20852.9795,1636585.22,0.0,37134,15441,684495.5,37.9643,17618,2839,16
raspberry,scone,스콘,18,0.2571,0.0009,13,0.1857,1,2957.23,42.2462,976.66,0.0,30,5,689.0,38.2778,7,4,4
raspberry,tart,타르트,170,2.4286,0.009,119,1.7,77,57961.41,828.0202,32836.73,0.0,1242,366,7335.5,43.15,107,2,2
blueberry,baumkuchen,바움쿠헨,5008,71.5429,0.483,165,2.3571,4164,93847.47,1340.6782,1207442.74,0.0,3273,29619,84708.0,16.9145,122,14399,19
blueberry,pannacotta,판나코타,115,1.6429,0.0111,843,12.0429,110,173800.55,2482.865,4073.8,0.0,65,120,478.5,4.1609,3,109,12
blueberry,pie,파이,4373,62.4714,0.4217,1063,15.1857,2595,250030.22,3571.8604,255805.89,0.0,5183,7410,135939.5,31.0861,445,2623,16
blueberry,scone,스콘,438,6.2571,0.0422,6190,88.4286,78,973283.44,13904.0491,19609.95,0.0,7365,493,30800.0,70.3196,2178,298,13
blueberry,tarte_tatin,타르트·타탱,435,6.2143,0.042,571,8.1571,195,250692.01,3581.3144,39374.53,0.0,1289,1068,19165.0,44.0575,144,384,12
