match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
2,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
3,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
4,blueberry,1,2,3,0,2,tank_aoe_focus,upgrade_focus
5,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
6,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
7,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
8,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
9,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
10,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
11,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
12,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
13,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
14,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
15,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
16,blueberry,0,2,2,0,1,mixed_composition,swarm_focus
17,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
18,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
19,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
20,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
21,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
22,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
23,raspberry,2,1,3,0,1,mixed_composition,swarm_focus
24,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
25,blueberry,0,2,2,0,1,mixed_composition,mixed_composition
26,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
27,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
28,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
29,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
30,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
31,blueberry,0,2,2,0,2,tank_aoe_focus,upgrade_focus
32,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
33,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
34,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
35,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
36,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
37,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
38,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
39,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
40,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
41,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
42,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
43,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
44,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
45,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
46,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
47,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
48,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
49,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
50,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
51,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
52,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
53,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
54,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
55,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
56,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
57,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
58,blueberry,1,2,3,0,1,mixed_composition,swarm_focus
59,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
60,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
61,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
62,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
63,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
64,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
65,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
66,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
67,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
68,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
69,blueberry,0,2,2,0,2,mixed_composition,upgrade_focus
70,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
