match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,2,0,1,time
1,2,raspberry,180.0,2,0,1,time
2,1,blueberry,180.0,-2,0,1,time
2,2,blueberry,180.0,-2,0,2,time
3,1,blueberry,180.0,-2,0,1,time
3,2,blueberry,180.0,-2,0,2,time
4,1,raspberry,180.0,2,0,2,time
4,2,blueberry,153.0,-3,0,2,blueberry_full_control
4,3,blueberry,139.5,-3,0,2,blueberry_full_control
5,1,blueberry,180.0,-2,0,1,time
5,2,raspberry,180.0,2,0,1,time
5,3,blueberry,180.0,-2,0,1,time
6,1,blueberry,180.0,-2,0,1,time
6,2,blueberry,180.0,-2,0,2,time
7,1,blueberry,180.0,-2,0,1,time
7,2,blueberry,180.0,-2,0,2,time
8,1,blueberry,180.0,-2,0,1,time
8,2,blueberry,180.0,-2,0,2,time
9,1,blueberry,180.0,-1,0,1,time
9,2,blueberry,180.0,-3,0,2,time
10,1,blueberry,180.0,-2,0,1,time
10,2,blueberry,180.0,-3,0,2,time
11,1,blueberry,180.0,-2,0,1,time
11,2,blueberry,180.0,-2,0,2,time
12,1,blueberry,180.0,-2,0,1,time
12,2,blueberry,180.0,-2,0,2,time
13,1,blueberry,180.0,-2,0,1,time
13,2,blueberry,180.0,-2,0,2,time
14,1,blueberry,180.0,-2,0,1,time
14,2,raspberry,180.0,2,0,1,time
14,3,blueberry,180.0,-2,0,1,time
15,1,blueberry,180.0,-3,0,1,time
15,2,raspberry,180.0,2,0,1,time
15,3,raspberry,180.0,2,0,1,time
16,1,blueberry,180.0,-3,0,1,time
16,2,blueberry,180.0,-2,0,1,time
17,1,raspberry,180.0,3,0,1,time
17,2,blueberry,180.0,-2,0,1,time
17,3,raspberry,180.0,1,0,1,time
18,1,blueberry,180.0,-2,0,1,time
18,2,blueberry,180.0,-2,0,2,time
19,1,blueberry,180.0,-3,0,1,time
19,2,raspberry,180.0,2,0,1,time
19,3,raspberry,180.0,2,0,1,time
20,1,blueberry,180.0,-2,0,1,time
20,2,blueberry,180.0,-2,0,2,time
21,1,blueberry,180.0,-2,0,1,time
21,2,blueberry,180.0,-3,0,2,time
22,1,blueberry,180.0,-2,0,1,time
22,2,blueberry,180.0,-2,0,2,time
23,1,blueberry,180.0,-3,0,1,time
23,2,raspberry,180.0,2,0,1,time
23,3,raspberry,180.0,2,0,1,time
24,1,blueberry,180.0,-2,0,1,time
24,2,blueberry,180.0,-2,0,2,time
25,1,blueberry,180.0,-3,0,1,time
25,2,blueberry,180.0,-2,0,1,time
26,1,blueberry,180.0,-3,0,1,time
26,2,raspberry,180.0,2,0,1,time
26,3,raspberry,180.0,2,0,1,time
27,1,blueberry,180.0,-3,0,1,time
27,2,raspberry,180.0,2,0,1,time
27,3,raspberry,180.0,2,0,1,time
28,1,blueberry,180.0,-3,0,1,time
28,2,raspberry,180.0,2,0,1,time
28,3,raspberry,180.0,2,0,1,time
29,1,blueberry,180.0,-2,0,1,time
29,2,blueberry,180.0,-2,0,2,time
30,1,blueberry,180.0,-2,0,1,time
30,2,raspberry,180.0,2,0,1,time
30,3,blueberry,180.0,-2,0,1,time
31,1,blueberry,172.5,-3,0,2,blueberry_full_control
31,2,blueberry,142.5,-3,0,2,blueberry_full_control
32,1,blueberry,180.0,-2,0,1,time
32,2,blueberry,180.0,-3,0,2,time
33,1,blueberry,180.0,0,0,1,time
33,2,blueberry,180.0,-2,0,2,time
34,1,blueberry,180.0,-2,0,1,time
