team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2027,28.9571,0.1731,967,13.8143,750,81928.36,1170.4052,967406.06,0.0,5662,16318,104633.0,51.6196,2177,471,15
raspberry,macaron,마카롱,2138,30.5429,0.1826,0,0.0,1264,0.0,0.0,251610.17,623068.15,0,5305,61318.5,28.6803,0,82,13
raspberry,pie,파이,5539,79.1286,0.4731,6444,92.0571,1094,520835.3,7440.5043,318492.05,0.0,15788,3525,305323.0,55.1224,9603,650,13
raspberry,scone,스콘,337,4.8143,0.0288,867,12.3857,36,78069.8,1115.2829,23031.16,0.0,1300,198,18469.0,54.8042,348,25,4
raspberry,tart,타르트,1668,23.8286,0.1425,2353,33.6143,99,423756.69,6053.667,50838.24,0.0,10047,642,122113.5,73.2095,4162,133,15
blueberry,baumkuchen,바움쿠헨,147,2.1,0.0133,28,0.4,142,9758.61,139.4087,40683.34,0.0,346,1056,1166.5,7.9354,15,403,17
blueberry,pannacotta,판나코타,41,0.5857,0.0037,264,3.7714,41,95226.52,1360.3788,1341.6,0.0,27,33,78.5,1.9146,9,21,17
blueberry,pie,파이,10420,148.8571,0.9445,2260,32.2857,10140,1139516.32,16278.8046,986611.89,0.0,22763,29546,75547.5,7.2502,805,15534,22
blueberry,scone,스콘,140,2.0,0.0127,259,3.7,132,127283.87,1818.341,33440.98,0.0,856,1270,4698.5,33.5607,47,73,16
blueberry,tarte_tatin,타르트·타탱,284,4.0571,0.0257,432,6.1714,203,239592.37,3422.7481,42512.34,0.0,1996,892,12418.5,43.7271,485,259,9
