match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
2,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
3,raspberry,2,1,3,3,3,upgrade_focus,upgrade_focus
4,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
5,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
6,raspberry,2,1,3,3,3,upgrade_focus,upgrade_focus
7,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
8,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
9,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
10,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
11,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
12,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
13,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
14,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
15,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
16,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
17,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
18,blueberry,1,2,3,1,3,mixed_composition,upgrade_focus
19,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
20,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
21,raspberry,2,1,3,3,3,upgrade_focus,upgrade_focus
22,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
23,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
24,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
25,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
26,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
27,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
28,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
29,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
30,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
31,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
32,raspberry,2,1,3,2,3,upgrade_focus,upgrade_focus
33,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
34,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
35,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
36,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
37,raspberry,2,1,3,1,3,mixed_composition,upgrade_focus
38,raspberry,2,1,3,3,2,upgrade_focus,upgrade_focus
39,raspberry,2,1,3,3,3,upgrade_focus,upgrade_focus
40,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
41,blueberry,1,2,3,1,3,mixed_composition,upgrade_focus
42,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
43,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
44,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
45,raspberry,2,1,3,1,3,mixed_composition,upgrade_focus
46,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
47,blueberry,1,2,3,2,2,upgrade_focus,upgrade_focus
48,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
49,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
50,raspberry,2,1,3,1,3,mixed_composition,upgrade_focus
51,raspberry,2,1,3,1,3,mixed_composition,upgrade_focus
52,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
53,blueberry,1,2,3,2,3,upgrade_focus,upgrade_focus
54,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
55,raspberry,2,1,3,2,2,upgrade_focus,upgrade_focus
56,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
57,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
58,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
59,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
60,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
61,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
62,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
63,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
64,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
65,blueberry,1,2,3,2,2,upgrade_focus,upgrade_focus
66,raspberry,2,1,3,1,3,mixed_composition,upgrade_focus
67,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
68,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
69,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
70,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
