team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1948,24.35,0.1172,75,0.9375,1410,13512.28,168.9035,674677.14,0.0,1273,9195,47986.5,24.6337,240,1360,13
raspberry,macaron,마카롱,1646,20.575,0.099,0,0.0,1349,0.0,0.0,83415.87,195007.65,0,1359,26969.0,16.3846,0,302,8
raspberry,pie,파이,10272,128.4,0.6178,5940,74.25,6751,477662.37,5970.7796,959032.61,0.0,15264,11433,310034.5,30.1825,5684,1817,11
raspberry,scone,스콘,901,11.2625,0.0542,5304,66.3,334,368801.29,4610.0162,157502.18,0.0,5732,875,52084.5,57.8074,1845,328,8
raspberry,tart,타르트,1860,23.25,0.1119,5368,67.1,731,970164.97,12127.0621,217082.64,0.0,19975,1605,105182.5,56.5497,7238,757,9
blueberry,baumkuchen,바움쿠헨,449,5.6125,0.0232,27,0.3375,387,14578.45,182.2307,116237.39,0.0,544,3048,8189.0,18.2383,116,895,15
blueberry,pannacotta,판나코타,363,4.5375,0.0188,1298,16.225,336,240094.02,3001.1753,13648.76,0.0,151,325,4152.5,11.4394,28,129,15
blueberry,pie,파이,17858,223.225,0.9231,6974,87.175,15590,1252762.48,15659.531,1596771.07,0.0,20194,37408,312136.5,17.4788,3861,13407,19
blueberry,scone,스콘,165,2.0625,0.0085,557,6.9625,134,78871.0,985.8875,27873.58,0.0,744,492,4487.5,27.197,69,149,12
blueberry,tarte_tatin,타르트·타탱,510,6.375,0.0264,1719,21.4875,391,505404.49,6317.5561,75610.11,0.0,2834,971,16315.5,31.9912,490,427,12
