match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,0,0,0,time
1,2,raspberry,180.0,3,0,0,time
2,1,raspberry,180.0,3,0,0,time
2,2,raspberry,180.0,2,0,0,time
3,1,raspberry,180.0,3,0,0,time
3,2,raspberry,180.0,3,0,0,time
4,1,raspberry,180.0,2,0,0,time
4,2,raspberry,180.0,2,0,0,time
5,1,raspberry,176.5,3,0,0,raspberry_full_control
5,2,raspberry,174.0,3,0,0,raspberry_full_control
6,1,raspberry,180.0,1,0,0,time
6,2,raspberry,180.0,1,0,0,time
7,1,blueberry,170.5,-3,0,0,blueberry_full_control
7,2,blueberry,180.0,-2,0,0,time
8,1,blueberry,116.5,-3,0,0,blueberry_full_control
8,2,blueberry,180.0,-3,0,0,time
9,1,raspberry,173.5,3,0,0,raspberry_full_control
9,2,raspberry,180.0,2,0,0,time
10,1,raspberry,180.0,3,0,0,time
10,2,blueberry,180.0,-3,0,0,time
10,3,raspberry,180.0,2,0,0,time
11,1,raspberry,169.0,3,0,0,raspberry_full_control
11,2,blueberry,180.0,-3,0,0,time
11,3,blueberry,144.0,-3,0,0,blueberry_full_control
12,1,blueberry,180.0,-3,0,0,time
12,2,raspberry,180.0,2,0,0,time
12,3,raspberry,180.0,2,0,0,time
13,1,raspberry,180.0,2,0,0,time
13,2,raspberry,180.0,2,0,0,time
14,1,raspberry,180.0,0,0,0,time
14,2,raspberry,170.0,3,0,0,raspberry_full_control
15,1,raspberry,180.0,3,0,0,time
15,2,raspberry,180.0,3,0,0,time
16,1,raspberry,180.0,2,0,0,time
16,2,blueberry,180.0,-2,0,0,time
16,3,raspberry,180.0,0,0,0,time
17,1,raspberry,180.0,3,0,0,time
17,2,raspberry,180.0,2,0,0,time
18,1,blueberry,180.0,-3,0,0,time
18,2,raspberry,180.0,3,0,0,time
18,3,blueberry,180.0,-3,0,0,time
19,1,raspberry,180.0,2,0,0,time
19,2,raspberry,180.0,2,0,0,time
20,1,raspberry,180.0,3,0,0,time
20,2,raspberry,180.0,2,0,0,time
21,1,blueberry,180.0,-2,0,0,time
21,2,blueberry,180.0,-3,0,0,time
22,1,blueberry,162.0,-3,0,0,blueberry_full_control
22,2,raspberry,180.0,3,0,0,time
22,3,raspberry,180.0,2,0,0,time
23,1,raspberry,162.0,3,0,0,raspberry_full_control
23,2,raspberry,180.0,3,0,0,time
24,1,raspberry,180.0,0,0,0,time
24,2,raspberry,180.0,3,0,0,time
25,1,raspberry,169.0,3,0,0,raspberry_full_control
25,2,blueberry,180.0,-3,0,0,time
25,3,raspberry,180.0,3,0,0,time
26,1,raspberry,180.0,2,0,0,time
26,2,raspberry,180.0,3,0,0,time
27,1,raspberry,180.0,1,0,0,time
27,2,raspberry,180.0,3,0,0,time
28,1,raspberry,180.0,2,0,0,time
28,2,blueberry,180.0,-2,0,0,time
28,3,raspberry,180.0,1,0,0,time
29,1,raspberry,180.0,1,0,0,time
29,2,raspberry,180.0,2,0,0,time
30,1,blueberry,180.0,-2,0,0,time
30,2,raspberry,168.0,3,0,0,raspberry_full_control
30,3,raspberry,180.0,3,0,0,time
31,1,raspberry,180.0,2,0,0,time
31,2,raspberry,180.0,3,0,0,time
32,1,blueberry,180.0,-1,0,0,time
32,2,raspberry,180.0,3,0,0,time
32,3,raspberry,180.0,3,0,0,time
33,1,blueberry,180.0,-1,0,0,time
33,2,raspberry,180.0,3,0,0,time
33,3,raspberry,180.0,1,0,0,time
34,1,raspberry,180.0,3,0,0,time
34,2,raspberry,166.5,3,0,0,raspberry_full_control
35,1,raspberry,172.0,3,0,0,raspberry_full_control
35,2,raspberry,180.0,3,0,0,time
36,1,raspberry,180.0,1,0,0,time
36,2,raspberry,180.0,0,0,0,time
37,1,raspberry,180.0,2,0,0,time
37,2,raspberry,180.0,0,0,0,time
38,1,raspberry,180.0,2,0,0,time
38,2,raspberry,180.0,3,0,0,time
39,1,blueberry,180.0,-1,0,0,time
39,2,blueberry,180.0,-1,0,0,time
40,1,raspberry,180.0,0,0,0,time
40,2,raspberry,180.0,3,0,0,time
41,1,blueberry,180.0,-2,0,0,time
41,2,raspberry,180.0,3,0,0,time
41,3,raspberry,180.0,2,0,0,time
42,1,raspberry,180.0,0,0,0,time
42,2,blueberry,180.0,-3,0,0,time
42,3,blueberry,180.0,-2,0,0,time
43,1,raspberry,180.0,0,0,0,time
43,2,raspberry,180.0,2,0,0,time
44,1,blueberry,147.0,-3,0,0,blueberry_full_control
44,2,raspberry,180.0,2,0,0,time
44,3,raspberry,180.0,3,0,0,time
45,1,raspberry,180.0,2,0,0,time
45,2,blueberry,180.0,-2,0,0,time
45,3,raspberry,180.0,3,0,0,time
46,1,blueberry,180.0,-1,0,0,time
46,2,raspberry,159.5,3,0,0,raspberry_full_control
46,3,blueberry,180.0,-3,0,0,time
47,1,raspberry,180.0,1,0,1,time
47,2,blueberry,180.0,-1,0,1,time
47,3,raspberry,180.0,1,0,1,time
