team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,326,4.075,0.027,11,0.1375,227,2806.2,35.0775,108829.99,0.0,260,1464,9062.0,27.7975,42,122,5
raspberry,macaron,마카롱,232,2.9,0.0192,0,0.0,188,0.0,0.0,11581.6,58278.02,0,185,4704.5,20.278,0,31,5
raspberry,pie,파이,6880,86.0,0.5688,879,10.9875,4509,122579.37,1532.2421,603102.68,0.0,3691,5877,212684.0,30.9134,1303,509,7
raspberry,scone,스콘,1576,19.7,0.1303,3766,47.075,836,444869.66,5560.8707,331845.8,0.0,5498,2647,76054.5,48.2579,1550,501,10
raspberry,tart,타르트,3081,38.5125,0.2547,4964,62.05,1216,903974.31,11299.6789,417058.2,0.0,24988,2143,168456.0,54.6758,9189,858,11
blueberry,baumkuchen,바움쿠헨,1579,19.7375,0.1474,121,1.5125,1451,26936.25,336.7031,429207.48,0.0,1068,10939,20003.5,12.6685,124,3271,16
blueberry,pannacotta,판나코타,960,12.0,0.0896,1099,13.7375,914,185582.69,2319.7836,46618.75,0.0,168,1432,6416.0,6.6833,21,742,16
blueberry,pie,파이,4985,62.3125,0.4655,815,10.1875,4554,125497.45,1568.7181,459066.93,0.0,2227,10424,62043.5,12.446,481,3566,16
blueberry,scone,스콘,581,7.2625,0.0542,824,10.3,507,114040.59,1425.5074,102728.75,0.0,1134,2783,10215.0,17.5818,108,1173,18
blueberry,tarte_tatin,타르트·타탱,2605,32.5625,0.2432,4117,51.4625,2362,1020361.29,12754.5162,436607.63,0.0,7719,8859,44713.5,17.1645,1287,3332,16
