team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,376,4.7,0.0319,13,0.1625,315,2009.85,25.1231,146645.78,0.0,188,2124,7113.5,18.9189,19,285,9
raspberry,macaron,마카롱,250,3.125,0.0212,0,0.0,235,0.0,0.0,15217.4,47829.13,0,292,2757.0,11.028,0,90,9
raspberry,pie,파이,6275,78.4375,0.5323,315,3.9375,5078,37288.97,466.1121,665464.93,0.0,1138,6462,114573.0,18.2586,477,1013,10
raspberry,scone,스콘,1594,19.925,0.1352,2918,36.475,1186,335534.95,4194.1868,443829.4,0.0,4143,5450,47073.0,29.5314,737,1823,14
raspberry,tart,타르트,3293,41.1625,0.2794,4978,62.225,2130,945420.25,11817.7531,657295.96,0.0,23008,4549,118024.0,35.8409,6496,2135,14
blueberry,baumkuchen,바움쿠헨,239,2.9875,0.0223,11,0.1375,171,3502.93,43.7866,51532.98,0.0,133,1259,5638.0,23.59,22,289,16
blueberry,pannacotta,판나코타,162,2.025,0.0151,80,1.0,142,14575.43,182.1929,7359.3,0.0,21,228,1689.5,10.429,7,79,16
blueberry,pie,파이,3651,45.6375,0.3408,481,6.0125,2884,80248.56,1003.107,291137.23,0.0,1407,6608,74333.5,20.3598,459,1278,14
blueberry,scone,스콘,1507,18.8375,0.1407,1919,23.9875,1179,288981.58,3612.2697,239505.05,0.0,2760,6840,37905.5,25.153,436,2143,19
blueberry,tarte_tatin,타르트·타탱,5155,64.4375,0.4811,6453,80.6625,3869,1541144.97,19264.3121,730719.46,0.0,14556,13542,136112.5,26.404,4422,3940,17
