team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,400,5.0,0.0344,9,0.1125,264,3226.71,40.3339,126259.28,0.0,296,1624,12119.0,30.2975,49,109,5
raspberry,macaron,마카롱,238,2.975,0.0205,0,0.0,182,0.0,0.0,10825.53,47870.42,0,199,4312.0,18.1176,0,33,6
raspberry,pie,파이,6492,81.15,0.5584,857,10.7125,4158,119320.05,1491.5006,553664.01,0.0,3588,5357,205982.0,31.7286,1163,479,8
raspberry,scone,스콘,1499,18.7375,0.1289,3556,44.45,698,414213.68,5177.671,287981.98,0.0,5206,2192,77959.5,52.0077,1517,472,10
raspberry,tart,타르트,2997,37.4625,0.2578,4602,57.525,1158,836589.98,10457.3748,378313.96,0.0,23000,2263,163124.5,54.4293,8262,800,13
blueberry,baumkuchen,바움쿠헨,1527,19.0875,0.1525,156,1.95,1419,31868.98,398.3623,421197.91,0.0,1269,10597,19640.5,12.8621,141,3127,17
blueberry,pannacotta,판나코타,1090,13.625,0.1089,1249,15.6125,1056,222044.73,2775.5592,53989.93,0.0,209,1669,6362.0,5.8367,28,890,17
blueberry,pie,파이,4715,58.9375,0.4709,807,10.0875,4350,135658.47,1695.7308,440510.98,0.0,2351,10205,56086.0,11.8952,518,3522,16
blueberry,scone,스콘,646,8.075,0.0645,1073,13.4125,588,151499.44,1893.743,119288.7,0.0,1446,3065,9339.0,14.4567,113,1207,17
blueberry,tarte_tatin,타르트·타탱,2034,25.425,0.2032,3175,39.6875,1820,815973.14,10199.6642,338362.91,0.0,6360,6554,38344.0,18.8515,1093,2245,16
