team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,212,2.65,0.0472,0,0.0,212,1867.16,23.3395,99782.33,0.0,169,942,1008.5,4.7571,6,217,8
raspberry,macaron,마카롱,2859,35.7375,0.6369,0,0.0,3093,0.0,0.0,192657.3,71388.59,0,3449,7259.5,2.5392,0,1438,9
raspberry,pie,파이,1133,14.1625,0.2524,242,3.025,1163,36235.28,452.9411,165398.3,0.0,1067,1728,7791.5,6.8769,72,335,6
raspberry,scone,스콘,103,1.2875,0.0229,462,5.775,100,45995.14,574.9393,43628.75,0.0,569,265,1726.5,16.7621,27,91,8
raspberry,tart,타르트,182,2.275,0.0405,147,1.8375,184,31164.84,389.5605,51529.22,0.0,751,418,1666.5,9.1566,34,102,6
blueberry,baumkuchen,바움쿠헨,335,4.1875,0.0593,80,1.0,50,9422.2,117.7775,18677.2,0.0,398,450,14580.0,43.5224,104,9,3
blueberry,pannacotta,판나코타,1726,21.575,0.3058,1611,20.1375,918,178130.54,2226.6318,15175.32,0.0,735,368,40555.0,23.4965,92,32,4
blueberry,pie,파이,2660,33.25,0.4712,2198,27.475,536,190892.02,2386.1502,61104.09,0.0,3468,1405,117441.0,44.1508,1192,56,5
blueberry,scone,스콘,99,1.2375,0.0175,188,2.35,16,21412.77,267.6596,4060.59,0.0,242,67,4931.5,49.8131,65,4,2
blueberry,tarte_tatin,타르트·타탱,825,10.3125,0.1461,675,8.4375,66,153138.37,1914.2296,16245.24,0.0,1959,266,40567.5,49.1727,730,38,4
