team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,256,3.2,0.046,6,0.075,249,2234.81,27.9351,115249.73,0.0,207,1660,1835.0,7.168,11,526,7
raspberry,macaron,마카롱,3082,38.525,0.5538,0,0.0,3524,0.0,0.0,206472.15,120934.09,0,3768,14691.0,4.7667,0,1918,11
raspberry,pie,파이,1958,24.475,0.3518,1374,17.175,1878,137025.0,1712.8125,278894.2,0.0,4253,3735,32780.0,16.7416,1079,844,12
raspberry,scone,스콘,86,1.075,0.0155,804,10.05,73,62086.94,776.0868,31252.0,0.0,852,266,2829.0,32.8953,88,120,7
raspberry,tart,타르트,183,2.2875,0.0329,501,6.2625,167,102975.2,1287.1899,47939.02,0.0,1780,543,5041.5,27.5492,222,262,7
blueberry,baumkuchen,바움쿠헨,236,2.95,0.0224,27,0.3375,56,5949.67,74.3709,18818.59,0.0,236,481,10734.5,45.4852,97,67,6
blueberry,pannacotta,판나코타,225,2.8125,0.0213,329,4.1125,122,46385.27,579.8159,2389.94,0.0,94,58,5120.0,22.7556,14,12,7
blueberry,pie,파이,9716,121.45,0.9216,5005,62.5625,2552,494779.27,6184.7409,272572.93,0.0,8551,6375,373106.0,38.4012,3253,1283,12
blueberry,scone,스콘,90,1.125,0.0085,191,2.3875,16,18596.12,232.4515,3843.59,0.0,222,72,4302.0,47.8,42,13,8
blueberry,tarte_tatin,타르트·타탱,276,3.45,0.0262,339,4.2375,33,114096.78,1426.2097,6696.9,0.0,869,106,13277.5,48.1069,264,25,6
