team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,250,3.125,0.0216,3,0.0375,250,1798.62,22.4827,113981.11,0.0,164,1520,1306.5,5.226,23,569,9
raspberry,macaron,마카롱,245,3.0625,0.0212,0,0.0,244,0.0,0.0,14464.29,10196.05,0,284,562.0,2.2939,0,155,11
raspberry,pie,파이,10727,134.0875,0.9261,1621,20.2625,10747,229290.66,2866.1332,1373648.19,0.0,6733,18877,39159.0,3.6505,527,9187,16
raspberry,scone,스콘,145,1.8125,0.0125,376,4.7,145,43486.86,543.5857,51974.18,0.0,514,553,1457.5,10.0517,31,244,11
raspberry,tart,타르트,216,2.7,0.0186,164,2.05,215,41893.7,523.6713,57588.8,0.0,793,477,1749.5,8.0995,37,267,13
blueberry,baumkuchen,바움쿠헨,1011,12.6375,0.1081,109,1.3625,320,20643.96,258.0494,97331.38,0.0,839,2510,40083.5,39.6474,356,155,8
blueberry,pannacotta,판나코타,788,9.85,0.0842,1068,13.35,419,128760.19,1609.5024,10739.81,0.0,352,280,18249.5,23.1593,61,24,6
blueberry,pie,파이,5408,67.6,0.5781,4392,54.9,1698,478142.04,5976.7755,180908.16,0.0,9054,4937,216225.5,39.9825,4047,295,9
blueberry,scone,스콘,462,5.775,0.0494,1949,24.3625,17,190259.01,2378.2376,7328.6,0.0,2110,119,28772.0,62.2771,945,19,3
blueberry,tarte_tatin,타르트·타탱,1685,21.0625,0.1801,4083,51.0375,62,793851.38,9923.1422,20161.88,0.0,9356,358,99488.5,59.0436,5013,125,9
