team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,211,2.6375,0.021,2,0.025,212,1255.06,15.6882,96180.46,0.0,115,1433,759.5,3.5995,13,590,12
raspberry,macaron,마카롱,202,2.525,0.0201,0,0.0,202,0.0,0.0,11707.01,4759.97,0,237,255.5,1.2649,0,155,14
raspberry,pie,파이,9328,116.6,0.9272,706,8.825,9346,81052.22,1013.1527,1192847.45,0.0,2439,16895,17720.5,1.8997,36,9638,14
raspberry,scone,스콘,129,1.6125,0.0128,217,2.7125,129,24794.18,309.9272,45363.21,0.0,277,597,678.0,5.2558,7,296,13
raspberry,tart,타르트,190,2.375,0.0189,80,1.0,189,23288.5,291.1063,50545.64,0.0,450,591,791.5,4.1658,7,384,13
blueberry,baumkuchen,바움쿠헨,153,1.9125,0.0198,8,0.1,28,2091.36,26.142,9163.94,0.0,83,232,6450.0,42.1569,23,2,2
blueberry,pannacotta,판나코타,119,1.4875,0.0154,134,1.675,60,14793.52,184.919,1081.53,0.0,54,27,2960.0,24.8739,14,2,3
blueberry,pie,파이,3583,44.7875,0.4642,2105,26.3125,938,229377.2,2867.215,99158.85,0.0,4348,2729,148061.5,41.3233,2149,46,2
blueberry,scone,스콘,909,11.3625,0.1178,2878,35.975,15,303965.68,3799.571,6201.36,0.0,3110,84,52872.0,58.165,1704,7,5
blueberry,tarte_tatin,타르트·타탱,2954,36.925,0.3827,4953,61.9125,18,846416.01,10580.2002,14784.28,0.0,12158,209,165427.0,56.001,7173,6,4
