match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
2,raspberry,2,0,2,0,0,swarm_focus,tank_focus
3,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
4,raspberry,2,0,2,0,0,swarm_focus,tank_focus
5,raspberry,2,0,2,0,0,swarm_focus,tank_focus
6,raspberry,2,0,2,0,0,swarm_focus,tank_focus
7,raspberry,2,1,3,0,0,swarm_focus,tank_focus
8,raspberry,2,0,2,0,0,swarm_focus,tank_focus
9,raspberry,2,1,3,0,0,swarm_focus,tank_focus
10,raspberry,2,0,2,0,0,swarm_focus,tank_focus
11,raspberry,2,1,3,0,0,swarm_focus,tank_focus
12,raspberry,2,1,3,0,0,swarm_focus,tank_focus
13,raspberry,2,1,3,0,0,swarm_focus,tank_focus
14,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
15,blueberry,1,2,3,0,1,swarm_focus,mixed_composition
16,raspberry,2,0,2,0,0,swarm_focus,tank_focus
17,blueberry,1,2,3,0,0,swarm_focus,tank_focus
18,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
19,raspberry,2,1,3,0,0,swarm_focus,tank_focus
20,raspberry,2,1,3,0,0,swarm_focus,tank_focus
21,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
22,raspberry,2,1,3,1,0,swarm_focus,tank_focus
23,raspberry,2,1,3,0,0,swarm_focus,tank_focus
24,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
25,raspberry,2,1,3,0,0,swarm_focus,tank_focus
26,raspberry,2,1,3,0,0,swarm_focus,tank_focus
27,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
28,raspberry,2,1,3,0,0,swarm_focus,tank_focus
29,raspberry,2,1,3,0,0,swarm_focus,tank_focus
30,raspberry,2,0,2,0,0,swarm_focus,tank_focus
31,blueberry,0,2,2,0,1,swarm_focus,mixed_composition
32,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
33,raspberry,2,1,3,0,1,swarm_focus,tank_focus
34,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
35,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
36,raspberry,2,0,2,0,0,swarm_focus,tank_focus
37,raspberry,2,1,3,0,0,swarm_focus,tank_focus
38,raspberry,2,0,2,0,0,swarm_focus,tank_focus
39,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
40,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
41,raspberry,2,1,3,0,0,swarm_focus,tank_focus
42,raspberry,2,1,3,0,0,swarm_focus,tank_focus
43,raspberry,2,0,2,0,0,swarm_focus,tank_focus
44,raspberry,2,1,3,0,0,swarm_focus,tank_focus
45,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
46,raspberry,2,1,3,0,0,swarm_focus,tank_focus
47,blueberry,1,2,3,0,0,swarm_focus,tank_focus
48,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
49,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
50,blueberry,1,2,3,0,0,swarm_focus,tank_focus
51,raspberry,2,0,2,0,0,swarm_focus,tank_focus
52,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
53,raspberry,2,1,3,0,0,swarm_focus,tank_focus
54,raspberry,2,1,3,0,0,swarm_focus,tank_focus
55,raspberry,2,0,2,0,0,swarm_focus,tank_focus
56,blueberry,1,2,3,0,0,swarm_focus,tank_focus
57,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
58,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
59,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
60,raspberry,2,1,3,0,0,swarm_focus,tank_focus
61,raspberry,2,1,3,0,0,swarm_focus,tank_focus
62,raspberry,2,0,2,1,0,swarm_focus,tank_focus
63,raspberry,2,0,2,0,0,swarm_focus,tank_focus
64,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
65,raspberry,2,1,3,0,0,swarm_focus,tank_focus
66,raspberry,2,1,3,0,0,swarm_focus,tank_focus
67,raspberry,2,0,2,0,0,swarm_focus,tank_focus
68,raspberry,2,1,3,0,0,swarm_focus,tank_focus
69,raspberry,2,1,3,1,0,swarm_focus,tank_focus
70,raspberry,2,1,3,0,0,swarm_focus,tank_focus
71,raspberry,2,0,2,0,0,swarm_focus,tank_focus
72,raspberry,2,0,2,0,0,swarm_focus,tank_focus
73,raspberry,2,1,3,0,0,swarm_focus,mixed_composition
74,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
75,raspberry,2,0,2,0,0,swarm_focus,tank_focus
76,raspberry,2,0,2,0,0,swarm_focus,tank_focus
77,blueberry,1,2,3,0,1,swarm_focus,mixed_composition
78,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
79,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
80,raspberry,2,0,2,0,0,swarm_focus,tank_focus
