match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,145.5,-3,0,0,blueberry_full_control
1,2,blueberry,119.5,-3,0,0,blueberry_full_control
2,1,raspberry,121.5,3,0,0,raspberry_full_control
2,2,raspberry,180.0,3,0,0,time
3,1,blueberry,126.0,-3,0,0,blueberry_full_control
3,2,blueberry,180.0,-3,0,0,time
4,1,raspberry,135.0,3,0,0,raspberry_full_control
4,2,raspberry,126.0,3,0,0,raspberry_full_control
5,1,raspberry,180.0,2,0,0,time
5,2,raspberry,137.0,3,0,0,raspberry_full_control
6,1,raspberry,139.5,3,0,0,raspberry_full_control
6,2,raspberry,123.5,3,0,0,raspberry_full_control
7,1,blueberry,146.5,-3,0,0,blueberry_full_control
7,2,raspberry,126.0,3,0,0,raspberry_full_control
7,3,raspberry,141.0,3,0,0,raspberry_full_control
8,1,raspberry,131.0,3,0,0,raspberry_full_control
8,2,raspberry,144.0,3,0,0,raspberry_full_control
9,1,raspberry,125.5,3,0,0,raspberry_full_control
9,2,blueberry,180.0,-2,0,0,time
9,3,raspberry,180.0,1,0,0,time
10,1,raspberry,158.0,3,0,0,raspberry_full_control
10,2,raspberry,129.0,3,0,0,raspberry_full_control
11,1,blueberry,147.5,-3,0,0,blueberry_full_control
11,2,raspberry,124.0,3,0,0,raspberry_full_control
11,3,raspberry,121.5,3,0,0,raspberry_full_control
12,1,blueberry,142.5,-3,0,0,blueberry_full_control
12,2,raspberry,120.5,3,0,0,raspberry_full_control
12,3,raspberry,134.0,3,0,0,raspberry_full_control
13,1,blueberry,150.5,-3,0,0,blueberry_full_control
13,2,raspberry,123.5,3,0,0,raspberry_full_control
13,3,raspberry,133.0,3,0,0,raspberry_full_control
14,1,blueberry,180.0,-3,0,0,time
14,2,blueberry,179.5,-3,0,0,blueberry_full_control
15,1,raspberry,116.5,3,0,0,raspberry_full_control
15,2,blueberry,146.0,-3,0,0,blueberry_full_control
15,3,blueberry,180.0,-1,0,1,time
16,1,raspberry,125.0,3,0,0,raspberry_full_control
16,2,raspberry,112.0,2,0,0,raspberry_full_control
17,1,blueberry,173.5,-3,0,0,blueberry_full_control
17,2,raspberry,180.0,3,0,0,time
17,3,blueberry,179.0,-3,0,0,blueberry_full_control
18,1,blueberry,137.0,-3,0,0,blueberry_full_control
18,2,blueberry,140.5,-3,0,0,blueberry_full_control
19,1,blueberry,168.0,-3,0,0,blueberry_full_control
19,2,raspberry,166.0,3,0,0,raspberry_full_control
19,3,raspberry,123.0,3,0,0,raspberry_full_control
20,1,raspberry,124.0,3,0,0,raspberry_full_control
20,2,blueberry,180.0,0,0,0,time
20,3,raspberry,127.0,3,0,0,raspberry_full_control
21,1,blueberry,146.5,-3,0,0,blueberry_full_control
21,2,blueberry,179.0,-3,0,0,blueberry_full_control
22,1,blueberry,176.5,-3,0,0,blueberry_full_control
22,2,raspberry,180.0,1,1,0,time
22,3,raspberry,155.0,3,1,0,raspberry_full_control
23,1,raspberry,123.0,3,0,0,raspberry_full_control
23,2,blueberry,141.5,-3,0,0,blueberry_full_control
23,3,raspberry,180.0,1,0,0,time
24,1,blueberry,162.0,-3,0,0,blueberry_full_control
24,2,blueberry,180.0,-3,0,0,time
25,1,blueberry,180.0,-3,0,0,time
25,2,raspberry,180.0,1,0,0,time
25,3,raspberry,180.0,1,0,0,time
26,1,raspberry,122.5,3,0,0,raspberry_full_control
26,2,blueberry,135.5,-3,0,0,blueberry_full_control
26,3,raspberry,124.5,3,0,0,raspberry_full_control
27,1,raspberry,143.5,3,0,0,raspberry_full_control
27,2,blueberry,140.0,-3,0,0,blueberry_full_control
27,3,blueberry,166.0,-3,0,0,blueberry_full_control
28,1,raspberry,125.0,3,0,0,raspberry_full_control
28,2,blueberry,178.0,-3,0,0,blueberry_full_control
28,3,raspberry,164.5,3,0,0,raspberry_full_control
29,1,raspberry,135.5,3,0,0,raspberry_full_control
29,2,blueberry,180.0,-3,0,0,time
29,3,raspberry,134.5,3,0,0,raspberry_full_control
30,1,raspberry,123.0,3,0,0,raspberry_full_control
30,2,raspberry,134.0,3,0,0,raspberry_full_control
31,1,blueberry,144.5,-3,0,0,blueberry_full_control
31,2,blueberry,180.0,-3,0,1,time
32,1,blueberry,125.5,-3,0,0,blueberry_full_control
32,2,blueberry,177.5,-3,0,0,blueberry_full_control
33,1,blueberry,180.0,-1,0,0,time
33,2,raspberry,180.0,1,0,1,time
33,3,raspberry,126.0,3,0,1,raspberry_full_control
34,1,blueberry,180.0,-2,0,0,time
34,2,blueberry,126.5,-3,0,0,blueberry_full_control
35,1,raspberry,180.0,1,0,0,time
35,2,blueberry,180.0,-3,0,0,time
35,3,blueberry,166.5,-3,0,0,blueberry_full_control
36,1,raspberry,180.0,2,0,0,time
36,2,raspberry,180.0,1,0,0,time
37,1,blueberry,180.0,-2,0,0,time
37,2,raspberry,169.5,3,0,0,raspberry_full_control
37,3,raspberry,122.0,3,0,0,raspberry_full_control
38,1,raspberry,122.5,3,0,0,raspberry_full_control
38,2,raspberry,128.5,3,0,0,raspberry_full_control
39,1,blueberry,138.0,-3,0,0,blueberry_full_control
39,2,blueberry,180.0,-1,0,0,time
40,1,blueberry,180.0,-1,0,0,time
40,2,blueberry,156.5,-3,0,0,blueberry_full_control
41,1,blueberry,133.0,-3,0,0,blueberry_full_control
41,2,raspberry,162.0,3,0,0,raspberry_full_control
41,3,raspberry,126.5,3,0,0,raspberry_full_control
42,1,raspberry,121.0,3,0,0,raspberry_full_control
42,2,blueberry,176.5,-3,0,0,blueberry_full_control
42,3,raspberry,129.5,3,0,0,raspberry_full_control
43,1,raspberry,128.5,3,0,0,raspberry_full_control
43,2,raspberry,125.0,3,0,0,raspberry_full_control
44,1,blueberry,134.5,-3,0,0,blueberry_full_control
44,2,raspberry,128.5,3,0,0,raspberry_full_control
44,3,raspberry,102.5,3,0,0,raspberry_full_control
45,1,blueberry,164.5,-3,0,0,blueberry_full_control
45,2,blueberry,180.0,-3,0,0,time
46,1,blueberry,179.5,-3,0,0,blueberry_full_control
46,2,raspberry,123.0,3,0,0,raspberry_full_control
46,3,raspberry,122.5,3,0,0,raspberry_full_control
47,1,blueberry,180.0,-2,0,0,time
47,2,raspberry,125.5,3,0,0,raspberry_full_control
47,3,blueberry,170.5,-3,0,0,blueberry_full_control
48,1,blueberry,161.5,-3,0,0,blueberry_full_control
48,2,raspberry,125.0,3,0,0,raspberry_full_control
48,3,blueberry,140.5,-3,0,0,blueberry_full_control
49,1,blueberry,119.0,-3,0,0,blueberry_full_control
49,2,blueberry,167.5,-3,0,0,blueberry_full_control
50,1,raspberry,125.0,3,0,0,raspberry_full_control
50,2,blueberry,160.5,-3,0,0,blueberry_full_control
50,3,blueberry,180.0,-1,0,0,time
51,1,raspberry,180.0,1,0,0,time
51,2,raspberry,180.0,3,0,0,time
52,1,blueberry,165.5,-3,0,0,blueberry_full_control
52,2,blueberry,108.5,-2,0,0,raspberry_full_control
53,1,raspberry,133.0,3,0,0,raspberry_full_control
53,2,blueberry,165.5,-3,0,0,blueberry_full_control
53,3,raspberry,123.5,3,0,0,raspberry_full_control
54,1,raspberry,125.5,3,0,0,raspberry_full_control
54,2,blueberry,180.0,-2,0,0,time
54,3,raspberry,180.0,1,0,0,time
55,1,raspberry,127.5,3,0,0,raspberry_full_control
55,2,raspberry,122.0,3,0,0,raspberry_full_control
56,1,blueberry,180.0,0,0,0,time
56,2,raspberry,141.0,3,0,0,raspberry_full_control
56,3,blueberry,149.0,-3,0,0,blueberry_full_control
57,1,raspberry,180.0,1,0,0,time
57,2,blueberry,126.5,-3,0,0,blueberry_full_control
57,3,blueberry,178.0,-3,0,0,blueberry_full_control
58,1,blueberry,129.0,-3,0,0,blueberry_full_control
58,2,blueberry,141.0,-3,0,0,blueberry_full_control
59,1,blueberry,116.0,-3,0,0,blueberry_full_control
59,2,blueberry,180.0,-1,0,0,time
60,1,raspberry,120.5,3,0,0,raspberry_full_control
60,2,blueberry,180.0,-2,0,0,time
60,3,raspberry,125.0,3,0,0,raspberry_full_control
61,1,raspberry,121.5,3,0,0,raspberry_full_control
61,2,blueberry,180.0,-2,0,0,time
61,3,raspberry,121.5,3,0,0,raspberry_full_control
62,1,raspberry,130.0,3,0,0,raspberry_full_control
62,2,raspberry,180.0,2,1,0,time
63,1,raspberry,121.0,3,0,0,raspberry_full_control
63,2,raspberry,180.0,1,0,0,time
64,1,blueberry,178.5,-3,0,0,blueberry_full_control
64,2,blueberry,117.5,-3,0,0,blueberry_full_control
65,1,blueberry,180.0,-2,0,0,time
65,2,raspberry,180.0,1,0,0,time
65,3,raspberry,123.5,3,0,0,raspberry_full_control
66,1,raspberry,122.5,2,0,0,raspberry_full_control
66,2,blueberry,153.0,-3,0,0,blueberry_full_control
66,3,raspberry,124.0,3,0,0,raspberry_full_control
67,1,raspberry,180.0,1,0,0,time
67,2,raspberry,127.0,3,0,0,raspberry_full_control
68,1,raspberry,124.5,3,0,0,raspberry_full_control
68,2,blueberry,128.0,-3,0,0,blueberry_full_control
68,3,raspberry,125.5,3,0,0,raspberry_full_control
69,1,raspberry,175.0,3,0,0,raspberry_full_control
69,2,blueberry,180.0,-3,1,0,time
69,3,raspberry,122.5,3,1,0,raspberry_full_control
70,1,raspberry,120.0,3,0,0,raspberry_full_control
70,2,blueberry,154.0,-3,0,0,blueberry_full_control
70,3,raspberry,124.0,3,0,0,raspberry_full_control
71,1,raspberry,154.5,3,0,0,raspberry_full_control
71,2,raspberry,121.5,3,0,0,raspberry_full_control
72,1,raspberry,126.5,3,0,0,raspberry_full_control
72,2,raspberry,124.0,3,0,0,raspberry_full_control
73,1,raspberry,180.0,1,0,0,time
73,2,blueberry,160.5,-3,0,0,blueberry_full_control
73,3,raspberry,180.0,1,0,0,time
74,1,blueberry,136.0,-3,0,0,blueberry_full_control
74,2,raspberry,122.0,3,0,0,raspberry_full_control
74,3,blueberry,178.5,-3,0,0,blueberry_full_control
75,1,raspberry,163.0,3,0,0,raspberry_full_control
75,2,raspberry,116.0,3,0,0,raspberry_full_control
76,1,raspberry,178.5,3,0,0,raspberry_full_control
76,2,raspberry,122.0,3,0,0,raspberry_full_control
77,1,blueberry,180.0,0,0,0,time
77,2,raspberry,180.0,2,0,1,time
77,3,blueberry,175.0,-3,0,1,blueberry_full_control
78,1,blueberry,149.5,-3,0,0,blueberry_full_control
78,2,blueberry,107.5,-1,0,0,raspberry_full_control
79,1,blueberry,180.0,-3,0,0,time
79,2,raspberry,123.5,3,0,0,raspberry_full_control
79,3,blueberry,180.0,-3,0,0,time
80,1,raspberry,124.5,3,0,0,raspberry_full_control
80,2,raspberry,130.0,3,0,0,raspberry_full_control
