team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,424,5.3,0.023,17,0.2125,269,7571.73,94.6466,131486.25,0.0,693,2526,14134.0,33.3349,174,502,9
raspberry,macaron,마카롱,423,5.2875,0.0229,0,0.0,329,0.0,0.0,19995.55,45500.55,0,540,8360.0,19.7636,0,109,11
raspberry,pie,파이,16967,212.0875,0.9194,5439,67.9875,10095,1281330.56,16016.632,1352280.86,0.0,36007,17299,619309.5,36.5008,13861,6001,14
raspberry,scone,스콘,251,3.1375,0.0136,581,7.2625,139,106278.99,1328.4874,52783.8,0.0,1144,510,12205.5,48.6275,186,182,12
raspberry,tart,타르트,390,4.875,0.0211,383,4.7875,202,124446.11,1555.5764,57362.12,0.0,2355,484,17319.5,44.409,349,232,9
blueberry,baumkuchen,바움쿠헨,5785,72.3125,0.558,886,11.075,4247,155758.79,1946.9849,1268617.3,0.0,6311,33841,107362.5,18.5588,1245,12519,15
blueberry,pannacotta,판나코타,189,2.3625,0.0182,731,9.1375,157,90144.6,1126.8075,5027.36,0.0,92,149,1975.5,10.4524,8,101,10
blueberry,pie,파이,3607,45.0875,0.3479,4362,54.525,1918,440431.9,5505.3987,202798.66,0.0,8579,5180,107785.0,29.8822,3363,1392,14
blueberry,scone,스콘,143,1.7875,0.0138,1036,12.95,67,99067.28,1238.341,15262.95,0.0,1120,387,6120.5,42.8007,264,230,13
blueberry,tarte_tatin,타르트·타탱,644,8.05,0.0621,4019,50.2375,123,828506.02,10356.3252,27921.12,0.0,5257,642,34819.0,54.0668,2146,328,13
