team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,281,3.5125,0.0236,2,0.025,281,2143.43,26.7929,128164.79,0.0,195,1722,1392.5,4.9555,17,727,10
raspberry,macaron,마카롱,235,2.9375,0.0197,0,0.0,235,0.0,0.0,13619.54,12399.99,0,253,745.0,3.1702,0,128,12
raspberry,pie,파이,11021,137.7625,0.9252,1659,20.7375,11039,233981.92,2924.774,1413325.78,0.0,6876,18600,43254.5,3.9247,422,8748,15
raspberry,scone,스콘,145,1.8125,0.0122,368,4.6,143,42831.96,535.3995,51777.16,0.0,499,570,1536.0,10.5931,28,239,12
raspberry,tart,타르트,230,2.875,0.0193,162,2.025,227,44764.47,559.5559,61192.5,0.0,850,570,1840.5,8.0022,33,270,9
blueberry,baumkuchen,바움쿠헨,1154,14.425,0.1243,135,1.6875,342,22155.81,276.9476,106113.15,0.0,906,2789,47076.0,40.7938,375,89,7
blueberry,pannacotta,판나코타,825,10.3125,0.0888,1206,15.075,482,140947.77,1761.8471,12662.65,0.0,366,334,18447.0,22.36,74,38,9
blueberry,pie,파이,5124,64.05,0.5517,4081,51.0125,1644,449489.13,5618.6142,175890.4,0.0,8467,4789,205881.5,40.1798,3744,242,9
blueberry,scone,스콘,515,6.4375,0.0555,2376,29.7,44,238830.2,2985.3775,11245.29,0.0,2574,204,31123.5,60.434,1099,35,6
blueberry,tarte_tatin,타르트·타탱,1669,20.8625,0.1797,4127,51.5875,45,816656.86,10208.2108,17810.29,0.0,9402,304,99619.0,59.6878,4820,96,8
