team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,3434,42.925,0.6217,79,0.9875,3391,32799.15,409.9894,1556299.48,0.0,3016,22085,15544.5,4.5266,156,9140,15
raspberry,macaron,마카롱,172,2.15,0.0311,0,0.0,173,0.0,0.0,10013.41,5695.3,0,216,415.5,2.4157,0,135,10
raspberry,pie,파이,1682,21.025,0.3045,335,4.1875,1680,59589.32,744.8665,215376.85,0.0,1750,2388,8055.0,4.7889,159,946,11
raspberry,scone,스콘,74,0.925,0.0134,250,3.125,73,31328.1,391.6013,26404.39,0.0,353,289,1026.5,13.8716,25,161,8
raspberry,tart,타르트,162,2.025,0.0293,193,2.4125,160,37891.05,473.6381,42744.64,0.0,617,391,1216.0,7.5062,14,201,9
blueberry,baumkuchen,바움쿠헨,858,10.725,0.1221,239,2.9875,157,74871.24,935.8905,59837.72,0.0,2884,2486,40901.5,47.6707,809,138,4
blueberry,pannacotta,판나코타,648,8.1,0.0922,723,9.0375,342,184622.6,2307.7825,2271.87,0.0,328,49,15587.5,24.0548,91,5,6
blueberry,pie,파이,3810,47.625,0.5423,2711,33.8875,629,901399.29,11267.4912,79435.83,0.0,14206,2637,188554.5,49.4894,5837,166,3
blueberry,scone,스콘,406,5.075,0.0578,666,8.325,25,226137.79,2826.7224,8818.44,0.0,1865,258,24770.0,61.0099,574,22,3
blueberry,tarte_tatin,타르트·타탱,1303,16.2875,0.1855,1138,14.225,32,463807.84,5797.598,11243.77,0.0,6086,306,76091.5,58.3972,3272,23,6
