team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4501,56.2625,0.5587,234,2.925,3988,97519.61,1218.9951,1844419.18,0.0,8958,37832,67033.5,14.893,1158,10243,20
raspberry,macaron,마카롱,231,2.8875,0.0287,0,0.0,215,0.0,0.0,12514.47,15597.91,0,381,1421.0,6.1515,0,177,17
raspberry,pie,파이,2970,37.125,0.3687,1657,20.7125,2365,415389.36,5192.367,307560.55,0.0,11891,4649,70609.0,23.7741,2487,2142,16
raspberry,scone,스콘,138,1.725,0.0171,444,5.55,95,90081.57,1126.0196,36210.4,0.0,946,457,5836.0,42.2899,109,243,10
raspberry,tart,타르트,216,2.7,0.0268,382,4.775,165,119434.89,1492.9361,45696.47,0.0,1777,635,6712.0,31.0741,179,349,10
blueberry,baumkuchen,바움쿠헨,4513,56.4125,0.5419,1509,18.8625,1916,578182.01,7227.2751,616341.84,0.0,22158,21123,175787.5,38.9514,4834,3338,18
blueberry,pannacotta,판나코타,148,1.85,0.0178,415,5.1875,101,102507.17,1281.3396,981.08,0.0,90,22,2577.0,17.4122,22,12,8
blueberry,pie,파이,3101,38.7625,0.3724,3693,46.1625,724,1120580.95,14007.2619,88350.98,0.0,17843,1978,148134.5,47.7699,7012,451,18
blueberry,scone,스콘,134,1.675,0.0161,372,4.65,23,115900.97,1448.7622,6307.99,0.0,954,182,8311.0,62.0224,213,71,12
blueberry,tarte_tatin,타르트·타탱,432,5.4,0.0519,839,10.4875,43,329229.97,4115.3746,10443.54,0.0,2909,267,25057.0,58.0023,1073,61,7
