team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1304,16.3,0.1433,43,0.5375,1235,11831.37,147.8921,575169.09,0.0,1094,7924,14256.5,10.9329,80,2220,13
raspberry,macaron,마카롱,1190,14.875,0.1307,0,0.0,1160,0.0,0.0,72817.04,92331.84,0,1371,6423.0,5.3975,0,685,14
raspberry,pie,파이,4870,60.875,0.535,725,9.0625,4588,108305.49,1353.8186,612114.15,0.0,3220,6769,53618.0,11.0099,410,2089,12
raspberry,scone,스콘,658,8.225,0.0723,1970,24.625,591,229622.49,2870.2811,229580.21,0.0,2758,2237,14423.0,21.9195,301,945,12
raspberry,tart,타르트,1080,13.5,0.1187,1466,18.325,939,304958.98,3811.9872,269354.82,0.0,6510,2213,22502.5,20.8356,985,1140,11
blueberry,baumkuchen,바움쿠헨,1233,15.4125,0.1273,172,2.15,609,43820.72,547.759,190532.88,0.0,1711,4553,43539.0,35.3114,390,443,9
blueberry,pannacotta,판나코타,893,11.1625,0.0922,1227,15.3375,623,214130.34,2676.6292,20195.77,0.0,364,497,16842.5,18.8606,89,107,9
blueberry,pie,파이,5107,63.8375,0.5274,2147,26.8375,2555,374360.6,4679.5075,264929.13,0.0,6348,5683,172973.5,33.8699,2094,658,13
blueberry,scone,스콘,548,6.85,0.0566,974,12.175,188,159561.12,1994.5141,42049.76,0.0,1545,851,24051.5,43.8896,369,166,8
blueberry,tarte_tatin,타르트·타탱,1903,23.7875,0.1965,3993,49.9125,593,967162.53,12089.5317,137010.79,0.0,10546,1998,97198.0,51.0762,4137,402,10
