team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1029,12.8625,0.1498,15,0.1875,1015,6127.93,76.5991,466389.96,0.0,563,6952,6030.5,5.8605,45,2769,17
raspberry,macaron,마카롱,889,11.1125,0.1294,0,0.0,893,0.0,0.0,53299.02,30143.31,0,1235,1702.0,1.9145,0,813,17
raspberry,pie,파이,3509,43.8625,0.5107,229,2.8625,3490,29629.07,370.3634,449625.55,0.0,897,5830,14638.5,4.1717,105,2596,15
raspberry,scone,스콘,544,6.8,0.0792,874,10.925,536,108000.0,1350.0,194365.33,0.0,1238,2745,4316.0,7.9338,89,1611,14
raspberry,tart,타르트,900,11.25,0.131,749,9.3625,873,177692.78,2221.1597,240684.82,0.0,3060,2606,7967.0,8.8522,226,1594,16
blueberry,baumkuchen,바움쿠헨,150,1.875,0.0206,21,0.2625,53,3735.02,46.6877,16404.5,0.0,152,391,6390.5,42.6033,34,21,4
blueberry,pannacotta,판나코타,121,1.5125,0.0166,94,1.175,73,14679.64,183.4955,2036.23,0.0,46,53,2710.0,22.3967,11,5,3
blueberry,pie,파이,2853,35.6625,0.3925,909,11.3625,1071,166158.21,2076.9776,112757.49,0.0,2825,2746,111537.0,39.0946,1022,135,6
blueberry,scone,스콘,991,12.3875,0.1364,1522,19.025,175,273576.79,3419.7098,42853.6,0.0,2589,865,51041.5,51.505,913,88,9
blueberry,tarte_tatin,타르트·타탱,3153,39.4125,0.4338,4261,53.2625,541,946215.02,11827.6878,147397.96,0.0,13756,1703,171961.5,54.539,7403,216,7
