team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1364,17.05,0.1343,36,0.45,1317,9735.81,121.6976,610578.36,0.0,900,5659,11350.5,8.3215,65,1305,10
raspberry,macaron,마카롱,1304,16.3,0.1284,0,0.0,1312,0.0,0.0,82098.67,92491.27,0,1347,6490.0,4.977,0,525,9
raspberry,pie,파이,5588,69.85,0.5503,938,11.725,5405,115052.52,1438.1565,721899.1,0.0,3496,6677,50640.5,9.0624,404,1494,7
raspberry,scone,스콘,731,9.1375,0.072,2272,28.4,685,203337.93,2541.7242,262505.48,0.0,2740,1701,12800.5,17.5109,208,600,7
raspberry,tart,타르트,1167,14.5875,0.1149,1350,16.875,1073,245141.15,3064.2644,303209.71,0.0,6107,1818,20430.5,17.5069,787,770,9
blueberry,baumkuchen,바움쿠헨,509,6.3625,0.0522,83,1.0375,276,22841.46,285.5183,84486.95,0.0,892,2173,18260.5,35.8752,139,154,5
blueberry,pannacotta,판나코타,3000,37.5,0.3077,4312,53.9,2356,749741.98,9371.7747,78734.74,0.0,1301,1994,52591.5,17.5305,254,377,14
blueberry,pie,파이,4653,58.1625,0.4773,2088,26.1,2616,384355.84,4804.448,269329.1,0.0,6406,6352,162104.5,34.8387,1918,637,7
blueberry,scone,스콘,172,2.15,0.0176,555,6.9375,100,90467.72,1130.8465,21281.87,0.0,859,414,7352.5,42.7471,161,37,6
blueberry,tarte_tatin,타르트·타탱,1415,17.6875,0.1451,2754,34.425,549,732884.32,9161.054,119434.76,0.0,7744,2310,70613.5,49.9035,2222,259,8
