team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1956,24.45,0.1207,65,0.8125,1372,12928.27,161.6034,657850.59,0.0,1214,9139,51179.5,26.1654,256,1546,11
raspberry,macaron,마카롱,1699,21.2375,0.1049,0,0.0,1433,0.0,0.0,86722.28,190265.84,0,1440,24849.5,14.626,0,359,9
raspberry,pie,파이,9821,122.7625,0.6062,4865,60.8125,6686,428884.79,5361.0598,935623.13,0.0,13540,11466,282343.5,28.749,4518,2010,12
raspberry,scone,스콘,1027,12.8375,0.0634,6386,79.825,428,444545.23,5556.8153,192796.48,0.0,6844,1378,56394.5,54.9119,2217,575,12
raspberry,tart,타르트,1698,21.225,0.1048,4580,57.25,624,858061.79,10725.7724,190345.81,0.0,17592,1586,94982.5,55.9379,6291,712,9
blueberry,baumkuchen,바움쿠헨,495,6.1875,0.0252,46,0.575,394,14772.69,184.6587,117875.48,0.0,564,2852,10212.0,20.6303,143,953,13
blueberry,pannacotta,판나코타,316,3.95,0.0161,1099,13.7375,288,202490.47,2531.1309,11140.75,0.0,143,281,3565.5,11.2832,21,99,15
blueberry,pie,파이,18112,226.4,0.9226,7104,88.8,14879,1259584.9,15744.8112,1521013.02,0.0,20437,34706,338777.0,18.7046,4366,11799,22
blueberry,scone,스콘,172,2.15,0.0088,645,8.0625,129,91837.92,1147.974,27026.68,0.0,869,482,5307.5,30.8576,95,137,10
blueberry,tarte_tatin,타르트·타탱,537,6.7125,0.0274,1649,20.6125,349,494652.3,6183.1537,67364.16,0.0,2996,869,19180.5,35.7179,577,294,13
