team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1344,16.8,0.1447,51,0.6375,1257,11881.95,148.5244,580436.56,0.0,1105,7636,16373.0,12.1823,92,1976,10
raspberry,macaron,마카롱,1159,14.4875,0.1248,0,0.0,1140,0.0,0.0,70162.1,83769.77,0,1386,7309.5,6.3067,0,623,12
raspberry,pie,파이,4998,62.475,0.5381,754,9.425,4660,108826.62,1360.3328,616495.07,0.0,3261,6700,63631.5,12.7314,402,1952,10
raspberry,scone,스콘,699,8.7375,0.0753,2052,25.65,635,241355.33,3016.9416,243783.19,0.0,2907,2364,15220.0,21.774,359,968,15
raspberry,tart,타르트,1088,13.6,0.1171,1353,16.9125,926,295142.57,3689.2821,262491.46,0.0,6466,2052,23668.0,21.7537,815,911,10
blueberry,baumkuchen,바움쿠헨,1297,16.2125,0.1356,196,2.45,637,43919.09,548.9886,196917.3,0.0,1735,4812,44511.0,34.3184,358,472,11
blueberry,pannacotta,판나코타,940,11.75,0.0983,1338,16.725,686,243181.2,3039.765,23031.76,0.0,384,565,17039.5,18.1271,87,116,11
blueberry,pie,파이,4808,60.1,0.5026,1965,24.5625,2500,348304.73,4353.8091,259012.54,0.0,5914,5603,160413.5,33.3639,1830,658,8
blueberry,scone,스콘,609,7.6125,0.0637,1475,18.4375,252,234375.25,2929.6907,56552.37,0.0,2274,1064,27595.5,45.3128,530,192,9
blueberry,tarte_tatin,타르트·타탱,1913,23.9125,0.2,3644,45.55,519,903588.1,11294.8513,121692.49,0.0,9831,1695,99991.0,52.2692,3625,230,9
