team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1848,23.1,0.14,109,1.3625,1614,22877.89,285.9736,897850.15,0.0,1983,11568,34736.5,18.7968,220,1998,11
raspberry,macaron,마카롱,1569,19.6125,0.1188,0,0.0,1393,0.0,0.0,99855.78,211456.69,0,1484,20388.0,12.9943,0,461,11
raspberry,pie,파이,7012,87.65,0.5311,1508,18.85,5785,192896.78,2411.2098,854992.1,0.0,6044,9281,143381.0,20.4479,1171,2141,11
raspberry,scone,스콘,833,10.4125,0.0631,2560,32.0,572,270763.55,3384.5444,243841.42,0.0,3559,1757,29268.0,35.1357,574,569,11
raspberry,tart,타르트,1942,24.275,0.1471,3697,46.2125,1344,696433.61,8705.4202,418783.87,0.0,15409,2792,66457.5,34.2212,3508,1175,10
blueberry,baumkuchen,바움쿠헨,1540,19.25,0.1285,289,3.6125,1144,72544.07,906.8009,320444.28,0.0,2831,9085,37468.5,24.3302,385,1474,12
blueberry,pannacotta,판나코타,1023,12.7875,0.0853,2149,26.8625,873,459180.86,5739.7607,34605.89,0.0,462,812,13073.5,12.7796,79,271,11
blueberry,pie,파이,6517,81.4625,0.5436,2576,32.2,4575,516950.82,6461.8853,465547.68,0.0,9087,10860,164186.5,25.1936,2199,2017,12
blueberry,scone,스콘,745,9.3125,0.0621,2168,27.1,456,362409.74,4530.1217,104393.23,0.0,3351,2105,26755.0,35.9128,562,487,12
blueberry,tarte_tatin,타르트·타탱,2164,27.05,0.1805,3526,44.075,1288,1104237.83,13802.9729,257980.76,0.0,11151,4133,83716.0,38.6858,3119,1224,11
