match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,0,0,time
1,2,raspberry,147.0,3,0,0,raspberry_full_control
2,1,raspberry,133.0,3,0,0,raspberry_full_control
2,2,raspberry,172.0,3,0,0,raspberry_full_control
3,1,raspberry,141.0,3,0,0,raspberry_full_control
3,2,blueberry,180.0,-3,0,0,time
3,3,raspberry,177.0,3,0,0,raspberry_full_control
4,1,raspberry,169.0,3,0,0,raspberry_full_control
4,2,raspberry,180.0,2,0,0,time
5,1,blueberry,158.5,-3,0,0,blueberry_full_control
5,2,blueberry,150.0,-3,0,0,blueberry_full_control
6,1,raspberry,165.5,3,0,0,raspberry_full_control
6,2,raspberry,134.5,3,0,0,raspberry_full_control
7,1,raspberry,144.0,3,0,0,raspberry_full_control
7,2,raspberry,148.5,3,0,0,raspberry_full_control
8,1,raspberry,133.5,3,0,0,raspberry_full_control
8,2,raspberry,180.0,3,0,0,time
9,1,raspberry,180.0,3,0,0,time
9,2,raspberry,163.0,3,0,0,raspberry_full_control
10,1,raspberry,123.5,3,0,0,raspberry_full_control
10,2,raspberry,154.0,3,0,0,raspberry_full_control
11,1,raspberry,93.0,2,0,0,raspberry_full_control
11,2,raspberry,180.0,3,0,0,time
12,1,raspberry,180.0,3,0,0,time
12,2,raspberry,180.0,1,0,0,time
13,1,raspberry,154.0,3,0,0,raspberry_full_control
13,2,raspberry,136.5,3,0,0,raspberry_full_control
14,1,raspberry,134.5,3,0,0,raspberry_full_control
14,2,raspberry,180.0,3,0,0,time
15,1,raspberry,133.0,3,0,0,raspberry_full_control
15,2,raspberry,175.0,3,0,0,raspberry_full_control
16,1,raspberry,153.0,3,0,0,raspberry_full_control
16,2,raspberry,180.0,1,0,0,time
17,1,raspberry,155.0,3,0,0,raspberry_full_control
17,2,raspberry,105.0,3,0,0,raspberry_full_control
18,1,raspberry,113.0,3,0,0,raspberry_full_control
18,2,raspberry,180.0,3,0,0,time
19,1,raspberry,174.0,3,0,0,raspberry_full_control
19,2,raspberry,180.0,3,0,0,time
20,1,raspberry,157.5,3,0,0,raspberry_full_control
20,2,raspberry,155.0,3,0,0,raspberry_full_control
21,1,raspberry,172.5,3,0,0,raspberry_full_control
21,2,raspberry,144.5,3,0,0,raspberry_full_control
22,1,raspberry,180.0,3,0,0,time
22,2,raspberry,155.5,3,0,0,raspberry_full_control
23,1,raspberry,147.0,3,0,0,raspberry_full_control
23,2,raspberry,174.0,3,0,0,raspberry_full_control
24,1,raspberry,180.0,3,0,0,time
24,2,raspberry,180.0,1,0,0,time
25,1,raspberry,163.0,3,0,0,raspberry_full_control
25,2,raspberry,180.0,0,0,1,time
26,1,raspberry,155.0,3,0,0,raspberry_full_control
26,2,raspberry,154.0,3,0,0,raspberry_full_control
27,1,raspberry,62.5,1,0,0,raspberry_full_control
27,2,raspberry,180.0,3,0,0,time
28,1,raspberry,153.5,3,0,0,raspberry_full_control
28,2,raspberry,136.5,2,0,0,raspberry_full_control
29,1,raspberry,180.0,2,0,0,time
29,2,raspberry,134.0,3,0,0,raspberry_full_control
30,1,raspberry,171.5,3,0,0,raspberry_full_control
30,2,raspberry,165.0,3,0,0,raspberry_full_control
31,1,raspberry,104.5,3,0,0,raspberry_full_control
31,2,raspberry,140.5,3,0,0,raspberry_full_control
32,1,raspberry,180.0,3,0,0,time
32,2,raspberry,135.0,3,0,0,raspberry_full_control
33,1,raspberry,180.0,2,0,0,time
33,2,raspberry,149.0,3,0,0,raspberry_full_control
34,1,raspberry,62.5,1,0,0,raspberry_full_control
34,2,raspberry,103.5,3,0,0,raspberry_full_control
35,1,blueberry,180.0,-1,0,0,time
35,2,raspberry,153.5,3,0,0,raspberry_full_control
35,3,raspberry,180.0,3,0,0,time
36,1,raspberry,167.0,3,0,0,raspberry_full_control
36,2,raspberry,146.5,3,0,0,raspberry_full_control
37,1,raspberry,63.5,1,0,0,raspberry_full_control
37,2,raspberry,180.0,3,0,0,time
38,1,raspberry,123.0,3,0,0,raspberry_full_control
38,2,raspberry,125.0,3,0,0,raspberry_full_control
39,1,blueberry,118.5,-3,0,0,blueberry_full_control
39,2,raspberry,174.0,3,0,0,raspberry_full_control
39,3,raspberry,103.0,3,0,0,raspberry_full_control
40,1,raspberry,180.0,2,0,0,time
40,2,raspberry,134.0,3,0,0,raspberry_full_control
41,1,raspberry,166.5,3,0,0,raspberry_full_control
41,2,raspberry,141.5,3,0,0,raspberry_full_control
42,1,raspberry,146.5,3,0,0,raspberry_full_control
42,2,raspberry,180.0,3,0,0,time
43,1,raspberry,135.5,3,0,0,raspberry_full_control
43,2,raspberry,139.0,3,0,0,raspberry_full_control
44,1,raspberry,180.0,3,0,0,time
44,2,raspberry,165.0,3,0,0,raspberry_full_control
