team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1460,18.25,0.1342,187,2.3375,644,57375.27,717.1908,460225.84,0.0,4928,9834,70513.0,48.2966,1412,441,8
raspberry,macaron,마카롱,1376,17.2,0.1264,0,0.0,802,0.0,0.0,67918.27,211140.13,0,2101,41360.0,30.0581,0,97,7
raspberry,pie,파이,5991,74.8875,0.5505,3755,46.9375,1902,775303.58,9691.2948,332019.91,0.0,23536,3641,327574.5,54.6778,9567,417,8
raspberry,scone,스콘,715,8.9375,0.0657,1155,14.4375,80,214531.63,2681.6454,39151.62,0.0,2483,346,48264.5,67.5028,687,89,6
raspberry,tart,타르트,1340,16.75,0.1231,1416,17.7,190,430911.91,5386.3989,67827.36,0.0,11211,715,92643.5,69.1369,3800,138,8
blueberry,baumkuchen,바움쿠헨,4732,59.15,0.6759,849,10.6125,4499,275004.12,3437.5515,1244538.65,0.0,10643,36739,40416.5,8.5411,411,13256,19
blueberry,pannacotta,판나코타,142,1.775,0.0203,734,9.175,138,155134.96,1939.187,4278.13,0.0,85,126,678.0,4.7746,10,96,15
blueberry,pie,파이,1747,21.8375,0.2495,966,12.075,1624,222548.12,2781.8515,163559.3,0.0,3812,3907,20532.0,11.7527,534,1485,18
blueberry,scone,스콘,106,1.325,0.0151,393,4.9125,98,71977.15,899.7143,21318.35,0.0,617,523,1976.5,18.6462,34,236,13
blueberry,tarte_tatin,타르트·타탱,274,3.425,0.0391,676,8.45,239,242478.65,3030.9832,44427.96,0.0,1480,863,6822.5,24.8996,193,393,13
