match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
2,raspberry,2,1,3,0,0,swarm_focus,swarm_focus
3,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
4,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
5,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
6,blueberry,0,2,2,0,1,mixed_composition,swarm_focus
7,raspberry,2,0,2,0,1,swarm_focus,mixed_composition
8,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
9,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
10,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
11,raspberry,2,0,2,0,0,swarm_focus,mixed_composition
12,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
13,blueberry,1,2,3,0,1,swarm_focus,swarm_focus
14,raspberry,2,1,3,0,0,swarm_focus,swarm_focus
15,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
16,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
17,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
18,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
19,raspberry,2,0,2,0,0,swarm_focus,swarm_focus
20,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
21,blueberry,0,2,2,0,1,mixed_composition,mixed_composition
22,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
23,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
24,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
25,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
26,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
27,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
28,raspberry,2,0,2,0,0,swarm_focus,mixed_composition
29,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
30,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
31,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
32,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
33,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
34,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
35,raspberry,2,0,2,0,1,mixed_composition,swarm_focus
36,raspberry,2,1,3,0,0,swarm_focus,swarm_focus
37,blueberry,1,2,3,0,1,swarm_focus,swarm_focus
38,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
39,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
40,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
41,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
42,raspberry,2,1,3,0,0,swarm_focus,swarm_focus
43,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
44,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
45,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
46,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
47,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
48,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
49,raspberry,2,0,2,0,1,swarm_focus,swarm_focus
50,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
51,raspberry,2,0,2,0,0,swarm_focus,swarm_focus
52,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
53,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
54,raspberry,2,1,3,0,0,swarm_focus,swarm_focus
55,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
56,raspberry,2,1,3,0,1,swarm_focus,swarm_focus
57,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
58,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
59,blueberry,1,2,3,0,1,swarm_focus,swarm_focus
60,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
61,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
62,blueberry,1,2,3,0,0,swarm_focus,mixed_composition
63,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
64,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
65,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
66,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
67,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
68,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
69,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
70,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
71,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
72,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
73,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
74,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
75,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
76,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
77,blueberry,1,2,3,0,1,swarm_focus,swarm_focus
78,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
79,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
80,raspberry,2,1,3,0,1,mixed_composition,swarm_focus
