team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1937,24.2125,0.1476,101,1.2625,1744,23869.04,298.363,967549.52,0.0,2054,11903,32514.5,16.786,232,2322,12
raspberry,macaron,마카롱,1609,20.1125,0.1226,0,0.0,1488,0.0,0.0,103921.69,196003.32,0,1660,16826.0,10.4574,0,551,11
raspberry,pie,파이,6946,86.825,0.5292,1634,20.425,6041,210041.78,2625.5223,884985.27,0.0,6582,9219,119600.5,17.2186,1189,2243,11
raspberry,scone,스콘,749,9.3625,0.0571,2498,31.225,571,270638.08,3382.976,239263.23,0.0,3542,1692,24331.5,32.4853,553,606,12
raspberry,tart,타르트,1884,23.55,0.1435,3071,38.3875,1440,605840.16,7573.002,434665.08,0.0,13133,3049,55340.5,29.3739,2749,1300,12
blueberry,baumkuchen,바움쿠헨,1587,19.8375,0.1335,292,3.65,1083,70279.23,878.4903,310185.23,0.0,2737,8585,43164.0,27.1985,410,1370,12
blueberry,pannacotta,판나코타,1137,14.2125,0.0956,2483,31.0375,963,543374.03,6792.1754,35288.44,0.0,560,870,14973.5,13.1693,100,271,10
blueberry,pie,파이,6456,80.7,0.5429,2553,31.9125,4401,517970.67,6474.6334,453650.37,0.0,9024,10666,168709.0,26.1321,2160,1867,13
blueberry,scone,스콘,799,9.9875,0.0672,2499,31.2375,459,423976.08,5299.701,107246.32,0.0,3884,2248,31282.0,39.1514,752,519,10
blueberry,tarte_tatin,타르트·타탱,1913,23.9125,0.1609,3457,43.2125,958,1074784.78,13434.8098,204018.7,0.0,11318,2942,88232.0,46.1223,3600,696,12
