team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,468,5.85,0.042,23,0.2875,274,3154.85,39.4356,156791.83,0.0,278,2097,17648.5,37.7105,59,67,6
raspberry,macaron,마카롱,352,4.4,0.0316,0,0.0,264,0.0,0.0,18855.83,98997.74,0,276,7705.0,21.8892,0,24,7
raspberry,pie,파이,5746,71.825,0.5159,527,6.5875,3131,60170.76,752.1346,463560.55,0.0,1907,5050,217399.0,37.8348,1044,324,10
raspberry,scone,스콘,1469,18.3625,0.1319,2761,34.5125,536,323857.44,4048.218,240855.62,0.0,4190,2171,82703.5,56.2992,1400,414,12
raspberry,tart,타르트,3102,38.775,0.2785,4926,61.575,737,893922.8,11174.035,306968.68,0.0,24976,1791,194405.0,62.6709,10028,514,13
blueberry,baumkuchen,바움쿠헨,189,2.3625,0.0219,12,0.15,183,4109.8,51.3725,50724.59,0.0,156,1427,2040.0,10.7937,20,410,15
blueberry,pannacotta,판나코타,134,1.675,0.0155,131,1.6375,133,26336.92,329.2115,7695.39,0.0,16,238,464.5,3.4664,0,130,15
blueberry,pie,파이,3334,41.675,0.3868,379,4.7375,3183,67345.12,841.8141,319070.09,0.0,1205,7934,30767.5,9.2284,200,2534,16
blueberry,scone,스콘,1260,15.75,0.1462,1714,21.425,1207,263829.53,3297.8691,258976.49,0.0,2441,7282,14181.0,11.2548,189,3449,17
blueberry,tarte_tatin,타르트·타탱,3702,46.275,0.4295,2706,33.825,3547,825411.13,10317.6392,644639.29,0.0,7567,14470,43712.5,11.8078,934,6008,18
