team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,252,3.15,0.0402,7,0.0875,256,3064.19,38.3024,141700.06,0.0,261,1505,1593.5,6.3234,10,356,8
raspberry,macaron,마카롱,3283,41.0375,0.5234,0,0.0,3645,0.0,0.0,250398.76,96634.12,0,4108,9258.5,2.8201,0,1907,10
raspberry,pie,파이,2431,30.3875,0.3876,551,6.8875,2502,86579.35,1082.2419,360205.98,0.0,2623,4821,10887.5,4.4786,88,1575,9
raspberry,scone,스콘,102,1.275,0.0163,355,4.4375,101,33571.03,419.6379,39976.61,0.0,430,244,1419.5,13.9167,33,94,6
raspberry,tart,타르트,204,2.55,0.0325,132,1.65,202,31042.81,388.0351,58761.14,0.0,698,481,1391.0,6.8186,14,194,9
blueberry,baumkuchen,바움쿠헨,408,5.1,0.0605,126,1.575,87,19961.8,249.5225,30682.05,0.0,789,864,18510.5,45.3689,233,24,4
blueberry,pannacotta,판나코타,1853,23.1625,0.2747,2227,27.8375,1120,275044.39,3438.0549,16083.03,0.0,1009,405,41411.5,22.3484,188,31,3
blueberry,pie,파이,3651,45.6375,0.5412,3250,40.625,798,352544.19,4406.8023,92009.72,0.0,6434,2451,164743.0,45.1227,2480,50,3
blueberry,scone,스콘,106,1.325,0.0157,431,5.3875,14,42736.52,534.2065,3627.34,0.0,485,56,6219.5,58.6745,189,8,2
blueberry,tarte_tatin,타르트·타탱,728,9.1,0.1079,672,8.4,35,160755.66,2009.4457,11855.25,0.0,2442,236,38918.0,53.4588,1036,32,4
