team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,330,4.125,0.0377,8,0.1,337,4285.87,53.5733,193454.76,0.0,363,2794,4976.0,15.0788,50,719,13
raspberry,macaron,마카롱,4319,53.9875,0.4934,0,0.0,4953,0.0,0.0,338114.0,298121.7,0,5232,37447.5,8.6704,0,2333,16
raspberry,pie,파이,3694,46.175,0.422,2895,36.1875,3465,302305.27,3778.8158,583992.35,0.0,9608,9116,76755.5,20.7784,3221,3394,16
raspberry,scone,스콘,143,1.7875,0.0163,1375,17.1875,114,103883.12,1298.539,49481.12,0.0,1477,427,6709.0,46.9161,216,159,10
raspberry,tart,타르트,267,3.3375,0.0305,819,10.2375,218,171988.84,2149.8605,66194.57,0.0,2831,716,9329.5,34.9419,557,372,12
blueberry,baumkuchen,바움쿠헨,341,4.2625,0.0258,36,0.45,143,8751.58,109.3947,41509.03,0.0,335,1126,11953.0,35.0528,119,290,10
blueberry,pannacotta,판나코타,250,3.125,0.0189,709,8.8625,157,104183.04,1302.288,3369.19,0.0,127,77,4993.0,19.972,21,15,6
blueberry,pie,파이,12117,151.4625,0.9175,7544,94.3,4813,886605.8,11082.5725,513541.89,0.0,15901,12638,431722.0,35.6294,6251,3534,18
blueberry,scone,스콘,137,1.7125,0.0104,360,4.5,31,39021.1,487.7638,7184.34,0.0,412,128,5977.0,43.6277,82,46,7
blueberry,tarte_tatin,타르트·타탱,362,4.525,0.0274,438,5.475,80,192675.29,2408.4411,16858.63,0.0,1510,310,17516.0,48.3867,504,159,13
