team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,298,3.725,0.041,32,0.4,252,13570.35,169.6293,178064.8,0.0,1161,3890,6919.0,23.2181,136,470,9
raspberry,macaron,마카롱,3667,45.8375,0.505,0,0.0,3257,0.0,0.0,284529.2,297089.66,0,7503,51486.5,14.0405,0,1937,19
raspberry,pie,파이,2958,36.975,0.4073,2071,25.8875,2260,445334.96,5566.687,380029.54,0.0,13378,7292,77591.0,26.2309,2855,2257,16
raspberry,scone,스콘,104,1.3,0.0143,376,4.7,59,71849.18,898.1148,25887.98,0.0,817,376,5258.5,50.5625,112,108,6
raspberry,tart,타르트,235,2.9375,0.0324,370,4.625,127,117752.13,1471.9016,50159.52,0.0,2280,943,8925.0,37.9787,281,229,9
blueberry,baumkuchen,바움쿠헨,3549,44.3625,0.5297,1148,14.35,1782,272097.72,3401.2216,520062.22,0.0,10681,14725,92223.0,25.9856,1771,2620,15
blueberry,pannacotta,판나코타,146,1.825,0.0218,420,5.25,109,51331.08,641.6385,1446.93,0.0,95,31,2161.0,14.8014,14,13,6
blueberry,pie,파이,2646,33.075,0.3949,3588,44.85,967,397826.14,4972.8268,108080.4,0.0,7428,2498,88506.5,33.4492,2717,616,13
blueberry,scone,스콘,91,1.1375,0.0136,427,5.3375,32,48793.96,609.9245,7457.28,0.0,508,138,3849.0,42.2967,82,56,8
blueberry,tarte_tatin,타르트·타탱,268,3.35,0.04,372,4.65,54,148622.14,1857.7767,11459.78,0.0,1292,244,11435.5,42.6698,417,79,6
