team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,314,3.925,0.0279,4,0.05,314,2395.12,29.939,166278.9,0.0,203,2396,1205.0,3.8376,19,1021,14
raspberry,macaron,마카롱,300,3.75,0.0267,0,0.0,301,0.0,0.0,19537.97,12531.89,0,315,502.5,1.675,0,201,16
raspberry,pie,파이,10235,127.9375,0.9098,1029,12.8625,10268,114325.98,1429.0747,1393673.33,0.0,3513,20134,27066.0,2.6445,99,10555,19
raspberry,scone,스콘,130,1.625,0.0116,291,3.6375,130,32571.52,407.144,46492.49,0.0,372,549,987.0,7.5923,21,251,14
raspberry,tart,타르트,271,3.3875,0.0241,140,1.75,271,48311.69,603.8961,76209.3,0.0,811,787,1552.0,5.7269,15,420,13
blueberry,baumkuchen,바움쿠헨,140,1.75,0.0164,25,0.3125,44,3106.85,38.8356,12895.91,0.0,126,374,5518.5,39.4179,39,17,4
blueberry,pannacotta,판나코타,142,1.775,0.0166,178,2.225,86,20878.24,260.978,1613.37,0.0,78,50,3406.5,23.9894,23,0,0
blueberry,pie,파이,4459,55.7375,0.5225,2290,28.625,1323,241815.38,3022.6923,138127.48,0.0,4983,3883,177977.0,39.9141,2049,69,4
blueberry,scone,스콘,993,12.4125,0.1164,4301,53.7625,28,443237.22,5540.4652,13402.92,0.0,4718,202,59951.5,60.3741,2509,18,6
blueberry,tarte_tatin,타르트·타탱,2800,35.0,0.3281,4490,56.125,61,993154.3,12414.4287,31564.63,0.0,14276,390,171268.0,61.1671,7828,50,6
