team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,537,6.7125,0.0281,18,0.225,431,4263.51,53.2938,251534.0,0.0,341,3108,11746.0,21.8734,53,846,13
raspberry,macaron,마카롱,493,6.1625,0.0258,0,0.0,427,0.0,0.0,31047.52,74434.46,0,473,7888.5,16.001,0,139,15
raspberry,pie,파이,17276,215.95,0.9041,7962,99.525,13009,846477.9,10580.9738,1971345.37,0.0,24841,26828,433728.0,25.1058,9560,10204,18
raspberry,scone,스콘,335,4.1875,0.0175,1487,18.5875,195,117892.59,1473.6573,76773.96,0.0,1608,553,14396.5,42.9746,327,235,12
raspberry,tart,타르트,468,5.85,0.0245,1097,13.7125,243,257212.47,3215.1559,76078.84,0.0,4106,493,21540.0,46.0256,1058,257,12
blueberry,baumkuchen,바움쿠헨,440,5.5,0.025,59,0.7375,254,6766.27,84.5784,75703.7,0.0,279,1961,11526.5,26.1966,116,609,15
blueberry,pannacotta,판나코타,398,4.975,0.0226,1785,22.3125,304,282307.67,3528.8459,10489.75,0.0,211,255,5876.5,14.7651,28,105,11
blueberry,pie,파이,16039,200.4875,0.912,9476,118.45,10018,1405179.12,17564.7391,1093773.13,0.0,25606,27913,400627.5,24.9783,9710,9831,22
blueberry,scone,스콘,247,3.0875,0.014,1705,21.3125,71,182255.4,2278.1925,17802.45,0.0,1939,294,13005.5,52.6538,509,127,10
blueberry,tarte_tatin,타르트·타탱,462,5.775,0.0263,1280,16.0,128,530271.21,6628.3902,28077.44,0.0,3420,473,25198.5,54.5422,1318,326,13
