team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,463,5.7875,0.0259,17,0.2125,223,8965.11,112.0638,132232.33,0.0,763,2701,18706.5,40.4028,164,376,12
raspberry,macaron,마카롱,475,5.9375,0.0266,0,0.0,326,0.0,0.0,23526.11,69056.72,0,662,12722.0,26.7832,0,58,13
raspberry,pie,파이,16269,203.3625,0.9107,5841,73.0125,6483,1323673.49,16545.9187,978711.21,0.0,39124,11565,774661.5,47.6158,18213,3423,15
raspberry,scone,스콘,234,2.925,0.0131,341,4.2625,65,62162.64,777.033,25392.84,0.0,699,167,13625.0,58.2265,145,70,6
raspberry,tart,타르트,423,5.2875,0.0237,340,4.25,105,115591.83,1444.8979,31868.84,0.0,2745,237,25754.5,60.8853,684,100,9
blueberry,baumkuchen,바움쿠헨,5300,66.25,0.6223,818,10.225,4592,138830.95,1735.3869,1282464.21,0.0,5541,37168,59264.0,11.1819,695,16675,25
blueberry,pannacotta,판나코타,153,1.9125,0.018,964,12.05,138,121824.59,1522.8074,4584.42,0.0,85,145,1095.5,7.1601,7,103,15
blueberry,pie,파이,2546,31.825,0.2989,2421,30.2625,1659,267861.13,3348.2641,172930.5,0.0,5271,4703,56137.5,22.0493,1911,1688,17
blueberry,scone,스콘,111,1.3875,0.013,913,11.4125,66,85192.6,1064.9075,14843.83,0.0,979,364,4366.0,39.3333,209,209,14
blueberry,tarte_tatin,타르트·타탱,407,5.0875,0.0478,2086,26.075,169,578022.06,7225.2758,35570.1,0.0,3456,951,20357.0,50.0172,1205,531,17
