team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,4174,52.175,0.5598,174,2.175,4123,47637.74,595.4718,2195022.25,0.0,4105,30908,19993.5,4.79,166,12427,18
raspberry,macaron,마카롱,175,2.1875,0.0235,0,0.0,174,0.0,0.0,11539.28,8658.58,0,209,352.0,2.0114,0,122,15
raspberry,pie,파이,2817,35.2125,0.3778,704,8.8,2810,115872.8,1448.41,381105.21,0.0,3579,5047,11830.0,4.1995,200,2269,16
raspberry,scone,스콘,95,1.1875,0.0127,271,3.3875,95,28257.75,353.2219,34627.87,0.0,360,385,1057.5,11.1316,20,260,16
raspberry,tart,타르트,195,2.4375,0.0262,328,4.1,194,60422.65,755.2831,54760.15,0.0,872,490,1760.0,9.0256,28,314,11
blueberry,baumkuchen,바움쿠헨,916,11.45,0.1112,216,2.7,297,80692.62,1008.6578,91616.47,0.0,3106,3663,40801.0,44.5426,812,87,4
blueberry,pannacotta,판나코타,730,9.125,0.0886,757,9.4625,454,281487.72,3518.5964,3259.0,0.0,428,69,15639.5,21.424,141,13,4
blueberry,pie,파이,4886,61.075,0.593,4344,54.3,1095,1430786.39,17884.8299,132736.21,0.0,23762,4469,242302.0,49.5911,9708,261,7
blueberry,scone,스콘,472,5.9,0.0573,853,10.6625,19,298306.52,3728.8315,8908.93,0.0,2284,259,28878.5,61.1833,743,14,3
blueberry,tarte_tatin,타르트·타탱,1235,15.4375,0.1499,1226,15.325,40,585781.51,7322.2689,15670.33,0.0,7459,456,79571.5,64.4304,3988,39,6
