match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,62.5,-1,0,0,raspberry_full_control
1,2,raspberry,180.0,3,0,0,time
1,3,raspberry,180.0,3,0,0,time
2,1,blueberry,180.0,-3,0,0,time
2,2,blueberry,129.0,-3,0,0,blueberry_full_control
3,1,blueberry,130.0,-3,0,0,blueberry_full_control
3,2,blueberry,156.5,-3,0,0,blueberry_full_control
4,1,blueberry,122.0,-3,0,0,blueberry_full_control
4,2,blueberry,136.0,-3,0,0,blueberry_full_control
5,1,raspberry,180.0,3,0,0,time
5,2,blueberry,139.0,-3,0,0,blueberry_full_control
5,3,raspberry,180.0,3,0,0,time
6,1,blueberry,127.0,-3,0,0,blueberry_full_control
6,2,raspberry,180.0,2,0,0,time
6,3,raspberry,180.0,0,0,0,time
7,1,blueberry,174.0,-3,0,0,blueberry_full_control
7,2,blueberry,124.5,-3,0,0,blueberry_full_control
8,1,blueberry,133.0,-3,0,0,blueberry_full_control
8,2,raspberry,180.0,3,0,0,time
8,3,blueberry,122.5,-3,0,0,blueberry_full_control
9,1,blueberry,147.5,-3,0,0,blueberry_full_control
9,2,raspberry,180.0,3,0,0,time
9,3,blueberry,131.0,-3,0,0,blueberry_full_control
10,1,raspberry,180.0,2,0,0,time
10,2,blueberry,142.0,-3,0,0,blueberry_full_control
10,3,blueberry,154.0,-3,0,0,blueberry_full_control
11,1,blueberry,126.0,-3,0,0,blueberry_full_control
11,2,blueberry,170.5,-3,0,0,blueberry_full_control
12,1,blueberry,139.5,-3,0,0,blueberry_full_control
12,2,blueberry,126.0,-3,0,0,blueberry_full_control
13,1,blueberry,140.0,-3,0,0,blueberry_full_control
13,2,blueberry,127.0,-3,0,0,blueberry_full_control
14,1,raspberry,180.0,3,0,0,time
14,2,blueberry,180.0,-3,0,0,time
14,3,raspberry,180.0,2,0,0,time
15,1,raspberry,180.0,3,0,0,time
15,2,blueberry,180.0,-3,0,0,time
15,3,blueberry,143.5,-3,0,0,blueberry_full_control
16,1,raspberry,180.0,3,0,0,time
16,2,blueberry,163.0,-3,0,0,blueberry_full_control
16,3,raspberry,180.0,3,0,0,time
17,1,blueberry,166.5,-3,0,0,blueberry_full_control
17,2,blueberry,129.0,-3,0,0,blueberry_full_control
18,1,blueberry,145.5,-3,0,0,blueberry_full_control
18,2,blueberry,180.0,-1,0,0,time
19,1,blueberry,124.0,-3,0,0,blueberry_full_control
19,2,blueberry,116.0,-3,0,0,blueberry_full_control
20,1,blueberry,144.0,-3,0,0,blueberry_full_control
20,2,raspberry,180.0,1,0,0,time
20,3,blueberry,180.0,-2,0,0,time
21,1,raspberry,180.0,3,0,0,time
21,2,blueberry,138.0,-3,0,0,blueberry_full_control
21,3,blueberry,120.0,-3,0,0,blueberry_full_control
22,1,blueberry,135.5,-3,0,0,blueberry_full_control
22,2,raspberry,180.0,3,0,0,time
22,3,blueberry,124.5,-3,0,0,blueberry_full_control
23,1,blueberry,150.5,-3,0,0,blueberry_full_control
23,2,blueberry,125.0,-3,0,0,blueberry_full_control
24,1,blueberry,125.5,-3,0,0,blueberry_full_control
24,2,blueberry,127.5,-3,0,0,blueberry_full_control
25,1,raspberry,180.0,3,0,0,time
25,2,blueberry,132.0,-3,0,0,blueberry_full_control
25,3,raspberry,175.0,3,0,0,raspberry_full_control
26,1,raspberry,180.0,2,0,0,time
26,2,blueberry,180.0,-3,0,0,time
26,3,blueberry,112.5,-3,0,0,blueberry_full_control
27,1,raspberry,180.0,3,0,0,time
27,2,raspberry,180.0,3,0,0,time
28,1,blueberry,124.5,-3,0,0,blueberry_full_control
28,2,blueberry,127.5,-3,0,0,blueberry_full_control
29,1,raspberry,180.0,0,0,0,time
29,2,raspberry,180.0,3,0,0,time
30,1,raspberry,180.0,3,0,0,time
30,2,blueberry,62.5,-1,0,0,raspberry_full_control
30,3,raspberry,180.0,3,0,0,time
31,1,raspberry,180.0,1,0,0,time
31,2,raspberry,180.0,3,0,0,time
32,1,blueberry,124.5,-3,0,0,blueberry_full_control
32,2,blueberry,135.5,-3,0,0,blueberry_full_control
33,1,blueberry,135.0,-3,0,0,blueberry_full_control
33,2,blueberry,135.0,-3,0,0,blueberry_full_control
34,1,raspberry,180.0,2,0,0,time
34,2,blueberry,180.0,-3,0,0,time
34,3,raspberry,180.0,3,0,0,time
35,1,blueberry,145.5,-3,0,0,blueberry_full_control
35,2,raspberry,180.0,3,0,0,time
35,3,raspberry,180.0,1,0,0,time
36,1,raspberry,180.0,2,0,0,time
36,2,raspberry,180.0,3,0,0,time
37,1,raspberry,180.0,3,0,0,time
37,2,raspberry,180.0,3,0,0,time
38,1,blueberry,125.0,-3,0,0,blueberry_full_control
38,2,blueberry,143.0,-3,0,0,blueberry_full_control
39,1,raspberry,175.0,3,0,0,raspberry_full_control
39,2,blueberry,124.5,-3,0,0,blueberry_full_control
39,3,raspberry,180.0,3,0,0,time
40,1,blueberry,153.5,-3,0,0,blueberry_full_control
40,2,raspberry,180.0,2,0,0,time
40,3,blueberry,63.5,-1,0,0,raspberry_full_control
41,1,blueberry,147.0,-3,0,0,blueberry_full_control
41,2,blueberry,126.0,-3,0,0,blueberry_full_control
42,1,blueberry,129.0,-3,0,0,blueberry_full_control
