team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1711,21.3875,0.1502,63,0.7875,1425,14528.29,181.6036,794607.63,0.0,1252,10453,34348.5,20.0751,132,3033,15
raspberry,macaron,마카롱,1536,19.2,0.1348,0,0.0,1377,0.0,0.0,100791.84,184386.44,0,1570,17808.5,11.5941,0,720,14
raspberry,pie,파이,5840,73.0,0.5127,578,7.225,4709,68871.03,860.8878,686691.24,0.0,2178,8202,118749.5,20.3338,475,2560,16
raspberry,scone,스콘,848,10.6,0.0744,2106,26.325,633,234543.57,2931.7946,268558.81,0.0,2997,2890,27225.5,32.1055,528,1233,16
raspberry,tart,타르트,1456,18.2,0.1278,2643,33.0375,869,533713.4,6671.4175,277274.65,0.0,11208,2460,57790.5,39.6913,2780,1322,17
blueberry,baumkuchen,바움쿠헨,207,2.5875,0.0206,45,0.5625,125,9885.88,123.5735,35765.63,0.0,386,1113,5485.0,26.4976,38,131,6
blueberry,pannacotta,판나코타,163,2.0375,0.0162,258,3.225,126,57920.12,724.0015,3970.49,0.0,78,110,2907.0,17.8344,21,46,7
blueberry,pie,파이,4630,57.875,0.4609,1322,16.525,2733,263792.82,3297.4103,280214.05,0.0,4618,6936,130001.5,28.0781,1302,1166,8
blueberry,scone,스콘,1385,17.3125,0.1379,3039,37.9875,693,567202.4,7090.03,161801.96,0.0,5029,3628,52764.0,38.0968,1375,1020,11
blueberry,tarte_tatin,타르트·타탱,3661,45.7625,0.3644,4349,54.3625,1791,1229122.95,15364.0368,369904.17,0.0,15464,5848,146709.0,40.0735,6132,1552,9
