match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,0,0,0,time
1,2,raspberry,180.0,1,0,0,time
2,1,raspberry,169.5,3,0,0,raspberry_full_control
2,2,blueberry,180.0,-2,0,1,time
2,3,raspberry,180.0,3,0,1,time
3,1,raspberry,158.5,3,0,0,raspberry_full_control
3,2,raspberry,180.0,1,0,0,time
4,1,raspberry,180.0,3,0,0,time
4,2,blueberry,171.5,-3,0,0,blueberry_full_control
4,3,raspberry,180.0,2,0,0,time
5,1,raspberry,180.0,3,0,0,time
5,2,blueberry,180.0,-1,0,0,time
5,3,raspberry,180.0,3,0,0,time
6,1,raspberry,142.0,3,0,0,raspberry_full_control
6,2,raspberry,180.0,3,0,0,time
7,1,blueberry,158.5,-3,0,0,blueberry_full_control
7,2,raspberry,180.0,2,0,0,time
7,3,raspberry,180.0,3,0,0,time
8,1,raspberry,165.0,3,0,0,raspberry_full_control
8,2,raspberry,180.0,3,0,0,time
9,1,raspberry,180.0,3,0,0,time
9,2,raspberry,157.5,3,0,0,raspberry_full_control
10,1,raspberry,180.0,2,0,1,time
10,2,raspberry,166.0,3,0,1,raspberry_full_control
11,1,blueberry,180.0,-2,0,1,time
11,2,blueberry,180.0,-2,0,1,time
12,1,blueberry,152.5,-3,0,0,blueberry_full_control
12,2,blueberry,106.5,-3,0,0,blueberry_full_control
13,1,raspberry,146.5,3,0,0,raspberry_full_control
13,2,blueberry,174.0,-3,0,0,blueberry_full_control
13,3,raspberry,165.0,3,0,0,raspberry_full_control
14,1,raspberry,168.5,3,0,0,raspberry_full_control
14,2,raspberry,180.0,2,0,0,time
15,1,blueberry,180.0,-2,0,0,time
15,2,raspberry,163.0,3,0,0,raspberry_full_control
15,3,raspberry,131.0,3,0,0,raspberry_full_control
16,1,raspberry,163.0,3,0,0,raspberry_full_control
16,2,raspberry,180.0,1,0,0,time
17,1,raspberry,162.5,3,0,0,raspberry_full_control
17,2,blueberry,180.0,-2,0,0,time
17,3,raspberry,180.0,2,0,0,time
18,1,raspberry,180.0,2,0,0,time
18,2,raspberry,178.5,3,0,0,raspberry_full_control
19,1,raspberry,143.0,3,0,0,raspberry_full_control
19,2,raspberry,151.5,3,0,0,raspberry_full_control
20,1,raspberry,180.0,0,0,0,time
20,2,raspberry,180.0,3,0,0,time
21,1,raspberry,180.0,3,0,0,time
21,2,raspberry,165.5,3,0,0,raspberry_full_control
22,1,raspberry,162.5,3,0,0,raspberry_full_control
22,2,blueberry,180.0,-2,0,0,time
22,3,blueberry,180.0,-2,0,1,time
23,1,raspberry,180.0,2,0,0,time
23,2,raspberry,128.0,3,0,0,raspberry_full_control
24,1,raspberry,180.0,2,0,0,time
24,2,blueberry,170.5,-3,0,0,blueberry_full_control
24,3,raspberry,155.5,3,0,0,raspberry_full_control
25,1,raspberry,166.5,3,0,0,raspberry_full_control
25,2,raspberry,180.0,2,0,0,time
26,1,raspberry,180.0,3,0,0,time
26,2,raspberry,180.0,1,0,0,time
27,1,raspberry,180.0,3,0,0,time
27,2,raspberry,163.0,3,0,0,raspberry_full_control
28,1,blueberry,180.0,-2,0,0,time
28,2,raspberry,178.5,3,0,0,raspberry_full_control
28,3,blueberry,180.0,-3,0,0,time
29,1,blueberry,180.0,-3,0,0,time
29,2,raspberry,178.0,3,0,0,raspberry_full_control
29,3,raspberry,180.0,0,0,0,time
30,1,blueberry,180.0,-1,0,0,time
30,2,raspberry,155.0,3,0,0,raspberry_full_control
30,3,raspberry,180.0,0,0,0,time
31,1,raspberry,180.0,1,0,0,time
31,2,blueberry,111.0,-3,0,0,blueberry_full_control
31,3,raspberry,180.0,2,0,0,time
32,1,blueberry,180.0,-2,0,0,time
32,2,raspberry,180.0,3,0,0,time
32,3,raspberry,180.0,2,0,0,time
33,1,blueberry,99.5,-3,0,0,blueberry_full_control
33,2,raspberry,180.0,3,0,1,time
33,3,blueberry,180.0,-2,0,1,time
34,1,raspberry,180.0,3,0,0,time
34,2,raspberry,167.5,3,0,0,raspberry_full_control
35,1,blueberry,180.0,-3,0,0,time
35,2,raspberry,180.0,2,0,0,time
35,3,raspberry,180.0,2,0,0,time
36,1,blueberry,180.0,-1,0,0,time
36,2,raspberry,180.0,3,0,0,time
36,3,raspberry,164.0,3,0,0,raspberry_full_control
37,1,blueberry,180.0,0,0,2,time
37,2,blueberry,156.0,-3,0,2,blueberry_full_control
38,1,blueberry,167.5,-3,0,0,blueberry_full_control
38,2,blueberry,180.0,-2,0,1,time
39,1,blueberry,180.0,-2,0,1,time
39,2,raspberry,173.0,3,0,1,raspberry_full_control
39,3,raspberry,180.0,0,0,2,time
40,1,blueberry,148.0,-3,0,0,blueberry_full_control
40,2,raspberry,180.0,2,0,1,time
40,3,blueberry,116.5,-3,0,1,blueberry_full_control
41,1,blueberry,180.0,-2,0,1,time
41,2,raspberry,180.0,2,0,1,time
41,3,raspberry,180.0,3,0,1,time
42,1,raspberry,180.0,2,0,0,time
42,2,raspberry,164.5,3,0,0,raspberry_full_control
43,1,blueberry,171.5,-3,0,0,blueberry_full_control
43,2,blueberry,176.5,-3,0,0,blueberry_full_control
44,1,blueberry,106.5,-3,0,0,blueberry_full_control
44,2,raspberry,176.5,3,0,0,raspberry_full_control
44,3,raspberry,180.0,3,0,0,time
45,1,raspberry,149.5,3,0,0,raspberry_full_control
45,2,raspberry,174.5,3,0,0,raspberry_full_control
46,1,blueberry,166.0,-3,0,0,blueberry_full_control
46,2,raspberry,180.0,2,0,0,time
46,3,raspberry,180.0,3,0,0,time
47,1,raspberry,161.5,3,0,0,raspberry_full_control
47,2,raspberry,180.0,3,0,0,time
48,1,raspberry,165.5,3,0,0,raspberry_full_control
48,2,raspberry,180.0,2,0,0,time
49,1,raspberry,180.0,3,0,0,time
49,2,raspberry,153.0,3,0,0,raspberry_full_control
50,1,raspberry,180.0,3,0,0,time
50,2,raspberry,180.0,3,0,0,time
51,1,raspberry,180.0,2,0,0,time
51,2,raspberry,180.0,3,0,0,time
52,1,raspberry,172.5,3,0,0,raspberry_full_control
52,2,raspberry,133.0,3,0,0,raspberry_full_control
53,1,blueberry,180.0,-2,0,0,time
53,2,raspberry,180.0,3,0,0,time
53,3,raspberry,180.0,3,0,0,time
54,1,raspberry,180.0,0,0,1,time
54,2,raspberry,180.0,3,0,1,time
55,1,raspberry,180.0,3,0,0,time
55,2,raspberry,180.0,2,0,1,time
56,1,raspberry,155.0,3,0,0,raspberry_full_control
56,2,blueberry,178.5,-3,0,0,blueberry_full_control
56,3,raspberry,180.0,3,0,0,time
57,1,raspberry,153.0,3,0,0,raspberry_full_control
