team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1648,20.6,0.1579,161,2.0125,1481,17903.65,223.7956,861932.0,0.0,1597,12278,23873.5,14.4863,122,3184,13
raspberry,macaron,마카롱,1701,21.2625,0.163,0,0.0,1592,0.0,0.0,137128.43,292645.41,0,2010,18545.0,10.9024,0,773,15
raspberry,pie,파이,4756,59.45,0.4558,670,8.375,4065,70725.23,884.0653,618254.62,0.0,2471,7446,77721.0,16.3417,360,2306,16
raspberry,scone,스콘,660,8.25,0.0633,1362,17.025,477,149814.14,1872.6768,204139.82,0.0,2286,2502,18279.5,27.6962,286,1031,17
raspberry,tart,타르트,1669,20.8625,0.16,2585,32.3125,1158,515210.67,6440.1333,378515.31,0.0,12042,3908,50550.5,30.2879,2602,2016,16
blueberry,baumkuchen,바움쿠헨,232,2.9,0.0249,39,0.4875,125,13061.65,163.2706,40748.34,0.0,459,1293,7334.0,31.6121,75,162,10
blueberry,pannacotta,판나코타,124,1.55,0.0133,164,2.05,95,32380.77,404.7597,3553.73,0.0,58,105,1940.5,15.6492,13,32,5
blueberry,pie,파이,4566,57.075,0.4901,1460,18.25,2599,352855.72,4410.6964,268553.63,0.0,6366,8388,147161.0,32.2297,1718,1147,12
blueberry,scone,스콘,1284,16.05,0.1378,3265,40.8125,595,644493.51,8056.1689,140154.33,0.0,5739,3431,58370.0,45.4595,1494,813,12
blueberry,tarte_tatin,타르트·타탱,3110,38.875,0.3338,3845,48.0625,1422,1157178.52,14464.7315,300643.66,0.0,15522,5179,141363.5,45.4545,6010,1216,13
