team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2134,26.675,0.1406,321,4.0125,1439,28946.47,361.8309,971471.97,0.0,2619,14687,67286.5,31.5307,579,1260,11
raspberry,macaron,마카롱,2590,32.375,0.1706,0,0.0,1971,0.0,0.0,182505.17,548403.84,0,3805,58662.0,22.6494,0,463,11
raspberry,pie,파이,7572,94.65,0.4987,7531,94.1375,3958,562638.67,7032.9833,729721.48,0.0,20098,10125,307377.5,40.594,8985,1632,11
raspberry,scone,스콘,933,11.6625,0.0615,3096,38.7,217,246056.19,3075.7024,94363.48,0.0,4313,674,58993.5,63.2299,1441,306,11
raspberry,tart,타르트,1954,24.425,0.1287,4773,59.6625,535,883829.07,11047.8634,178544.69,0.0,21501,1675,122573.0,62.7293,8281,644,9
blueberry,baumkuchen,바움쿠헨,378,4.725,0.022,94,1.175,340,21055.89,263.1986,107639.0,0.0,759,3333,4859.5,12.8558,112,1051,13
blueberry,pannacotta,판나코타,241,3.0125,0.014,1155,14.4375,225,252330.2,3154.1275,8077.01,0.0,135,230,1828.0,7.5851,27,109,14
blueberry,pie,파이,16009,200.1125,0.9304,5658,70.725,14815,1489635.9,18620.4487,1511647.04,0.0,27186,42986,211787.0,13.2292,3777,17168,22
blueberry,scone,스콘,168,2.1,0.0098,559,6.9875,140,101368.54,1267.1068,31163.88,0.0,891,707,4457.5,26.5327,84,305,15
blueberry,tarte_tatin,타르트·타탱,410,5.125,0.0238,654,8.175,336,292216.26,3652.7033,62943.47,0.0,1995,1275,11725.5,28.5988,305,653,19
