team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,400,5.0,0.0372,38,0.475,235,5326.96,66.587,143244.69,0.0,471,2043,13313.5,33.2837,79,69,4
raspberry,macaron,마카롱,738,9.225,0.0686,0,0.0,523,0.0,0.0,46864.59,195804.03,0,808,17333.0,23.4864,0,78,7
raspberry,pie,파이,5023,62.7875,0.467,1167,14.5875,2753,129466.01,1618.3251,436570.88,0.0,4544,5371,194722.0,38.7661,1459,415,7
raspberry,scone,스콘,1527,19.0875,0.142,3463,43.2875,497,455390.88,5692.386,253721.35,0.0,6569,1764,95006.5,62.2177,2241,298,7
raspberry,tart,타르트,3067,38.3375,0.2852,4202,52.525,838,800062.62,10000.7827,302809.79,0.0,27239,2291,187073.5,60.9956,10664,468,7
blueberry,baumkuchen,바움쿠헨,1522,19.025,0.1568,200,2.5,1442,49468.5,618.3562,447351.57,0.0,1765,12912,17590.5,11.5575,164,4287,13
blueberry,pannacotta,판나코타,733,9.1625,0.0755,1109,13.8625,708,225808.64,2822.6081,36077.5,0.0,217,1281,4276.0,5.8336,28,729,17
blueberry,pie,파이,4918,61.475,0.5068,934,11.675,4584,178934.63,2236.6828,459900.39,0.0,3344,13571,56200.0,11.4274,455,4920,22
blueberry,scone,스콘,598,7.475,0.0616,1112,13.9,541,184531.78,2306.6473,116741.69,0.0,1660,3178,9831.0,16.4398,121,1314,15
blueberry,tarte_tatin,타르트·타탱,1933,24.1625,0.1992,1491,18.6375,1812,544467.75,6805.8469,330175.31,0.0,5291,7881,28220.5,14.5993,560,3193,17
