team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,303,3.7875,0.0324,45,0.5625,122,8247.14,103.0892,83953.87,0.0,719,2000,14446.0,47.6766,146,76,5
raspberry,macaron,마카롱,642,8.025,0.0686,0,0.0,363,0.0,0.0,35283.21,113841.03,0,1098,19257.0,29.9953,0,74,4
raspberry,pie,파이,4495,56.1875,0.4803,2768,34.6,1470,558631.86,6982.8983,259136.34,0.0,17947,5000,255287.5,56.7937,6894,572,7
raspberry,scone,스콘,1296,16.2,0.1385,2320,29.0,106,501027.14,6262.8392,62842.89,0.0,6294,679,104218.5,80.4155,2397,69,6
raspberry,tart,타르트,2622,32.775,0.2802,2396,29.95,290,713695.75,8921.1969,102062.31,0.0,23628,1638,190578.0,72.6842,10170,188,6
blueberry,baumkuchen,바움쿠헨,4871,60.8875,0.6275,679,8.4875,4772,181188.77,2264.8597,1477011.2,0.0,6443,40777,30697.5,6.3021,460,16554,17
blueberry,pannacotta,판나코타,127,1.5875,0.0164,363,4.5375,127,74188.72,927.359,5953.21,0.0,47,209,441.5,3.4764,4,152,12
blueberry,pie,파이,2429,30.3625,0.3129,759,9.4875,2356,144974.86,1812.1858,236184.95,0.0,2722,6119,15964.5,6.5725,409,2157,17
blueberry,scone,스콘,113,1.4125,0.0146,268,3.35,110,40480.45,506.0056,23729.68,0.0,364,625,1220.0,10.7965,18,329,14
blueberry,tarte_tatin,타르트·타탱,223,2.7875,0.0287,282,3.525,211,102445.81,1280.5727,38722.85,0.0,839,858,3589.5,16.0964,88,415,11
