team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,269,3.3625,0.0448,26,0.325,311,5403.38,67.5422,182644.43,0.0,470,2828,2671.0,9.9294,17,686,10
raspberry,macaron,마카롱,4265,53.3125,0.71,0,0.0,5267,0.0,0.0,464592.83,355944.83,0,9312,23924.5,5.6095,0,4188,17
raspberry,pie,파이,1161,14.5125,0.1933,430,5.375,1359,71611.26,895.1408,219671.87,0.0,2333,3250,11827.5,10.1873,132,1162,14
raspberry,scone,스콘,91,1.1375,0.0151,304,3.8,91,46699.37,583.7422,46827.84,0.0,645,496,2088.5,22.9505,39,152,8
raspberry,tart,타르트,221,2.7625,0.0368,216,2.7,217,56700.57,708.7572,71978.64,0.0,1286,807,3035.0,13.733,67,315,9
blueberry,baumkuchen,바움쿠헨,967,12.0875,0.1421,391,4.8875,182,64730.5,809.1313,70622.73,0.0,2416,2008,40554.5,41.9385,734,86,5
blueberry,pannacotta,판나코타,560,7.0,0.0823,879,10.9875,352,109981.19,1374.7649,3650.27,0.0,321,95,10282.5,18.3616,49,13,4
blueberry,pie,파이,3894,48.675,0.5721,3441,43.0125,664,433889.94,5423.6242,80090.03,0.0,9048,2117,165273.5,42.4431,3756,99,4
blueberry,scone,스콘,385,4.8125,0.0566,1200,15.0,42,123022.27,1537.7783,11247.52,0.0,1452,250,19776.0,51.3662,439,29,5
blueberry,tarte_tatin,타르트·타탱,1001,12.5125,0.1471,1334,16.675,57,254091.7,3176.1463,14804.04,0.0,3456,264,49645.5,49.5959,1525,28,3
