team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,350,4.375,0.027,9,0.1125,345,3995.34,49.9418,185714.44,0.0,341,2800,2368.5,6.7671,29,934,11
raspberry,macaron,마카롱,334,4.175,0.0257,0,0.0,331,0.0,0.0,25595.09,37670.33,0,433,1457.0,4.3623,0,216,8
raspberry,pie,파이,11881,148.5125,0.9152,2498,31.225,11893,358300.87,4478.7608,1635580.3,0.0,11386,22892,65138.0,5.4825,1185,10223,16
raspberry,scone,스콘,142,1.775,0.0109,253,3.1625,141,35291.77,441.1471,50738.15,0.0,504,563,1557.5,10.9683,32,252,12
raspberry,tart,타르트,275,3.4375,0.0212,226,2.825,270,55042.05,688.0257,78661.93,0.0,1191,782,2718.0,9.8836,61,398,12
blueberry,baumkuchen,바움쿠헨,1243,15.5375,0.1212,326,4.075,518,47318.14,591.4768,169255.56,0.0,1764,5284,47367.5,38.1074,608,373,8
blueberry,pannacotta,판나코타,762,9.525,0.0743,1417,17.7125,464,175351.69,2191.8961,9848.02,0.0,398,285,15148.5,19.8799,85,42,9
blueberry,pie,파이,6369,79.6125,0.6208,5071,63.3875,2290,608799.29,7609.9911,241839.08,0.0,12246,7083,246964.5,38.776,5114,614,8
blueberry,scone,스콘,557,6.9625,0.0543,2912,36.4,24,305174.12,3814.6765,8091.63,0.0,3237,195,35067.0,62.9569,1357,62,11
blueberry,tarte_tatin,타르트·타탱,1329,16.6125,0.1295,3254,40.675,88,839646.67,10495.5834,23595.74,0.0,9825,575,88119.0,66.3047,4859,216,10
