match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,135.5,-3,0,0,blueberry_full_control
1,2,blueberry,178.0,-3,0,0,blueberry_full_control
2,1,blueberry,180.0,-3,0,0,time
2,2,blueberry,168.0,-3,0,0,blueberry_full_control
3,1,blueberry,135.0,-3,0,0,blueberry_full_control
3,2,blueberry,144.0,-3,0,0,blueberry_full_control
4,1,blueberry,167.5,-3,0,1,blueberry_full_control
4,2,blueberry,170.5,-3,0,1,blueberry_full_control
5,1,blueberry,158.0,-3,0,0,blueberry_full_control
5,2,blueberry,118.5,-3,0,0,blueberry_full_control
6,1,blueberry,164.0,-3,0,1,blueberry_full_control
6,2,blueberry,165.0,-3,0,1,blueberry_full_control
7,1,blueberry,176.0,-3,0,0,blueberry_full_control
7,2,blueberry,180.0,-2,0,0,time
8,1,blueberry,180.0,-2,0,0,time
8,2,blueberry,180.0,-3,0,0,time
9,1,blueberry,144.0,-3,0,0,blueberry_full_control
9,2,blueberry,180.0,-2,0,0,time
10,1,blueberry,180.0,-2,0,0,time
10,2,blueberry,124.5,-3,0,0,blueberry_full_control
11,1,blueberry,115.5,-3,0,0,blueberry_full_control
11,2,blueberry,132.5,-3,0,0,blueberry_full_control
12,1,blueberry,129.0,-3,0,0,blueberry_full_control
12,2,blueberry,160.0,-3,0,0,blueberry_full_control
13,1,blueberry,180.0,-3,0,0,time
13,2,blueberry,180.0,-1,1,0,time
14,1,blueberry,108.0,-3,0,0,blueberry_full_control
14,2,blueberry,135.0,-3,0,0,blueberry_full_control
15,1,blueberry,157.5,-3,0,0,blueberry_full_control
15,2,blueberry,142.0,-3,0,0,blueberry_full_control
16,1,blueberry,180.0,-2,0,0,time
16,2,blueberry,180.0,-1,0,0,time
17,1,blueberry,143.5,-3,0,0,blueberry_full_control
17,2,blueberry,180.0,-3,0,0,time
18,1,blueberry,109.5,-3,0,0,blueberry_full_control
18,2,blueberry,169.5,-3,0,0,blueberry_full_control
19,1,blueberry,180.0,-1,0,1,time
19,2,blueberry,138.5,-3,0,1,blueberry_full_control
20,1,blueberry,180.0,-3,0,0,time
20,2,blueberry,140.0,-3,0,0,blueberry_full_control
21,1,blueberry,138.5,-3,0,0,blueberry_full_control
21,2,blueberry,149.0,-3,0,0,blueberry_full_control
22,1,blueberry,139.5,-3,0,0,blueberry_full_control
22,2,blueberry,154.0,-3,0,0,blueberry_full_control
23,1,blueberry,148.0,-3,0,0,blueberry_full_control
23,2,blueberry,180.0,-3,0,0,time
24,1,blueberry,157.5,-3,0,0,blueberry_full_control
24,2,blueberry,137.5,-3,0,0,blueberry_full_control
25,1,blueberry,180.0,-3,0,0,time
25,2,blueberry,180.0,-1,0,0,time
26,1,blueberry,128.5,-3,0,0,blueberry_full_control
26,2,blueberry,180.0,-3,0,0,time
27,1,blueberry,168.5,-3,0,0,blueberry_full_control
27,2,blueberry,136.0,-3,0,0,blueberry_full_control
28,1,blueberry,147.5,-3,0,0,blueberry_full_control
28,2,blueberry,180.0,-1,0,0,time
29,1,blueberry,117.5,-3,0,0,blueberry_full_control
29,2,blueberry,149.0,-3,0,0,blueberry_full_control
30,1,blueberry,146.0,-3,0,0,blueberry_full_control
30,2,blueberry,155.0,-3,0,0,blueberry_full_control
31,1,blueberry,144.0,-3,0,0,blueberry_full_control
31,2,blueberry,180.0,-3,0,0,time
32,1,blueberry,175.5,-3,0,0,blueberry_full_control
32,2,blueberry,167.0,-3,0,0,blueberry_full_control
33,1,blueberry,159.0,-3,0,0,blueberry_full_control
33,2,blueberry,148.0,-3,0,0,blueberry_full_control
34,1,blueberry,180.0,-3,0,0,time
34,2,blueberry,180.0,-2,0,0,time
35,1,blueberry,161.5,-3,0,0,blueberry_full_control
35,2,blueberry,180.0,-3,0,0,time
36,1,blueberry,100.5,-3,0,0,blueberry_full_control
36,2,blueberry,180.0,-2,0,0,time
37,1,blueberry,158.5,-3,0,0,blueberry_full_control
37,2,blueberry,180.0,-2,0,0,time
38,1,blueberry,180.0,-3,0,0,time
38,2,blueberry,116.0,-3,0,0,blueberry_full_control
39,1,blueberry,162.0,-3,0,0,blueberry_full_control
39,2,blueberry,166.5,-3,0,0,blueberry_full_control
40,1,blueberry,176.0,-3,0,0,blueberry_full_control
40,2,blueberry,180.0,-3,0,1,time
41,1,blueberry,125.5,-3,0,0,blueberry_full_control
41,2,blueberry,142.5,-3,0,0,blueberry_full_control
42,1,blueberry,156.5,-3,0,0,blueberry_full_control
42,2,blueberry,118.0,-3,0,0,blueberry_full_control
43,1,blueberry,180.0,-3,0,0,time
43,2,blueberry,137.0,-3,0,0,blueberry_full_control
44,1,blueberry,153.0,-3,0,0,blueberry_full_control
44,2,blueberry,155.0,-3,0,0,blueberry_full_control
45,1,blueberry,180.0,-2,0,0,time
45,2,blueberry,180.0,-3,0,0,time
46,1,blueberry,155.5,-3,0,0,blueberry_full_control
46,2,blueberry,144.0,-3,0,0,blueberry_full_control
47,1,blueberry,180.0,-2,0,0,time
47,2,blueberry,180.0,-3,0,0,time
48,1,blueberry,158.0,-3,0,0,blueberry_full_control
48,2,blueberry,154.5,-3,0,0,blueberry_full_control
49,1,blueberry,180.0,-3,0,0,time
49,2,blueberry,153.5,-3,0,0,blueberry_full_control
50,1,blueberry,168.5,-3,0,0,blueberry_full_control
50,2,blueberry,180.0,-2,0,0,time
51,1,blueberry,169.5,-3,0,0,blueberry_full_control
51,2,blueberry,180.0,-3,0,0,time
52,1,blueberry,179.0,-3,0,0,blueberry_full_control
52,2,blueberry,168.0,-3,0,0,blueberry_full_control
53,1,blueberry,180.0,-3,0,0,time
53,2,blueberry,180.0,-2,0,0,time
54,1,blueberry,180.0,-2,0,0,time
54,2,blueberry,115.0,-3,0,0,blueberry_full_control
55,1,blueberry,128.0,-3,0,0,blueberry_full_control
55,2,blueberry,173.5,-3,0,0,blueberry_full_control
56,1,blueberry,133.5,-3,0,0,blueberry_full_control
56,2,blueberry,105.5,-3,0,0,blueberry_full_control
57,1,blueberry,149.5,-3,0,0,blueberry_full_control
57,2,blueberry,180.0,-3,0,0,time
58,1,blueberry,147.0,-3,0,0,blueberry_full_control
58,2,blueberry,164.0,-3,0,0,blueberry_full_control
59,1,blueberry,180.0,-1,0,0,time
59,2,blueberry,180.0,-3,0,0,time
60,1,blueberry,138.5,-3,0,0,blueberry_full_control
60,2,raspberry,162.5,3,0,0,raspberry_full_control
60,3,blueberry,134.5,-3,0,0,blueberry_full_control
61,1,blueberry,148.5,-3,0,0,blueberry_full_control
61,2,blueberry,134.5,-3,0,0,blueberry_full_control
62,1,blueberry,157.0,-3,0,0,blueberry_full_control
62,2,blueberry,180.0,-3,0,0,time
63,1,blueberry,180.0,-2,0,0,time
63,2,blueberry,180.0,-3,0,0,time
64,1,blueberry,136.5,-3,0,0,blueberry_full_control
64,2,blueberry,143.5,-3,0,0,blueberry_full_control
65,1,blueberry,180.0,-3,0,0,time
