team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,397,4.9625,0.027,4,0.05,392,3796.5,47.4563,210226.53,0.0,321,2378,2781.0,7.005,32,606,7
raspberry,macaron,마카롱,406,5.075,0.0276,0,0.0,408,0.0,0.0,30745.27,30870.91,0,535,1280.0,3.1527,0,207,10
raspberry,pie,파이,13395,167.4375,0.9109,3010,37.625,13338,384498.1,4806.2262,1821596.62,0.0,12111,21946,71242.0,5.3186,1080,7988,13
raspberry,scone,스콘,157,1.9625,0.0107,259,3.2375,158,30026.59,375.3324,55388.43,0.0,443,444,1933.5,12.3153,37,160,8
raspberry,tart,타르트,350,4.375,0.0238,141,1.7625,346,42996.22,537.4528,99978.72,0.0,1024,751,3040.5,8.6871,42,326,7
blueberry,baumkuchen,바움쿠헨,774,9.675,0.0743,240,3.0,377,39222.18,490.2773,121211.52,0.0,1443,3810,27617.5,35.6815,397,129,5
blueberry,pannacotta,판나코타,2588,32.35,0.2484,5814,72.675,1940,755974.85,9449.6856,40016.27,0.0,1651,1180,44440.0,17.1716,310,276,9
blueberry,pie,파이,6187,77.3375,0.5938,5129,64.1125,2714,717843.82,8973.0477,286095.5,0.0,14227,8578,232287.5,37.5444,5212,726,9
blueberry,scone,스콘,155,1.9375,0.0149,1543,19.2875,8,160191.88,2002.3985,2952.63,0.0,1669,74,11436.0,73.7806,536,18,6
blueberry,tarte_tatin,타르트·타탱,715,8.9375,0.0686,1916,23.95,26,544702.85,6808.7856,11041.49,0.0,7064,257,53656.0,75.0434,2832,42,8
