team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,5738,71.725,0.5931,554,6.925,4994,158510.48,1981.381,2705677.45,0.0,13534,54937,95824.0,16.6999,1584,15376,23
raspberry,macaron,마카롱,642,8.025,0.0664,0,0.0,577,0.0,0.0,45149.77,117511.96,0,1248,5806.0,9.0436,0,400,14
raspberry,pie,파이,2908,36.35,0.3006,2083,26.0375,2270,511056.12,6388.2014,322432.78,0.0,16143,5667,75878.0,26.0928,2758,3071,24
raspberry,scone,스콘,128,1.6,0.0132,402,5.025,88,79418.08,992.726,32648.64,0.0,1013,519,5807.5,45.3711,131,317,13
raspberry,tart,타르트,259,3.2375,0.0268,505,6.3125,183,166254.57,2078.1822,54034.26,0.0,2602,909,10021.5,38.6931,357,559,18
blueberry,baumkuchen,바움쿠헨,5072,63.4,0.497,1757,21.9625,2229,770164.56,9627.057,748256.85,0.0,26900,28926,184430.5,36.3625,6470,3393,16
blueberry,pannacotta,판나코타,148,1.85,0.0145,264,3.3,106,115325.56,1441.5696,749.82,0.0,100,19,2252.0,15.2162,16,12,8
blueberry,pie,파이,4566,57.075,0.4474,5190,64.875,1234,1884490.96,23556.137,148892.09,0.0,33093,3802,212849.5,46.6162,12366,1183,14
blueberry,scone,스콘,148,1.85,0.0145,432,5.4,24,149196.9,1864.9612,6955.37,0.0,1190,229,8973.5,60.6318,226,104,11
blueberry,tarte_tatin,타르트·타탱,272,3.4,0.0267,469,5.8625,51,240764.91,3009.5614,10385.11,0.0,1997,316,16375.0,60.2022,645,138,8
