match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
2,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
3,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
4,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
5,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
6,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
7,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
8,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
9,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
10,blueberry,0,2,2,0,0,swarm_focus,mixed_composition
11,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
12,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
13,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
14,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
15,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
16,blueberry,1,2,3,0,0,mixed_composition,ranged_focus
17,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
18,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
19,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
20,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
21,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
22,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
23,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
24,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
25,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
26,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
27,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
28,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
29,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
30,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
31,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
32,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
33,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
34,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
35,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
36,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
37,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
38,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
39,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
40,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
41,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
42,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
43,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
44,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
45,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
46,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
47,raspberry,2,1,3,1,0,mixed_composition,mixed_composition
48,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
49,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
50,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
51,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
52,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
53,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
54,blueberry,1,2,3,0,0,mixed_composition,ranged_focus
55,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
56,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
57,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
58,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
59,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
60,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
61,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
62,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
63,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
64,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
65,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
66,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
67,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
68,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
69,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
70,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
71,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
72,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
73,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
74,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
75,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
76,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
77,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
78,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
79,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
80,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
