team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,1632,20.4,0.1466,217,2.7125,919,60842.71,760.5339,683375.42,0.0,5223,14225,60281.5,36.9372,1156,1205,8
raspberry,macaron,마카롱,2108,26.35,0.1894,0,0.0,1500,0.0,0.0,160765.11,431230.55,0,4348,51086.0,24.2343,0,573,10
raspberry,pie,파이,5233,65.4125,0.4701,4129,51.6125,2164,844483.33,10556.0416,412204.6,0.0,27092,5997,243922.0,46.6123,9383,1209,10
raspberry,scone,스콘,791,9.8875,0.0711,1547,19.3375,181,319656.06,3995.7007,84233.74,0.0,4046,1002,50184.5,63.4444,947,264,8
raspberry,tart,타르트,1367,17.0875,0.1228,1634,20.425,354,510442.56,6380.5321,122145.2,0.0,13235,1547,83913.5,61.3851,3880,376,9
blueberry,baumkuchen,바움쿠헨,5101,63.7625,0.5696,1110,13.875,4458,411839.73,5147.9966,1394861.49,0.0,14464,41578,69057.5,13.538,1481,12292,21
blueberry,pannacotta,판나코타,139,1.7375,0.0155,652,8.15,129,148697.99,1858.7249,3492.49,0.0,94,101,830.5,5.9748,6,56,11
blueberry,pie,파이,3311,41.3875,0.3697,2259,28.2375,2735,541703.55,6771.2943,277582.14,0.0,9887,6523,58004.0,17.5186,1745,2344,17
blueberry,scone,스콘,122,1.525,0.0136,512,6.4,94,97379.33,1217.2417,20881.25,0.0,861,520,3325.0,27.2541,83,256,16
blueberry,tarte_tatin,타르트·타탱,283,3.5375,0.0316,585,7.3125,205,263103.46,3288.7932,38607.29,0.0,1813,874,9886.5,34.9346,312,418,17
