match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
2,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
3,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
4,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
5,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
6,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
7,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
8,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
9,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
10,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
11,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
12,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
13,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
14,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
15,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
16,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
17,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
18,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
19,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
20,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
21,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
22,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
23,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
24,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
25,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
26,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
27,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
28,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
29,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
30,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
31,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
32,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
33,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
34,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
35,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
36,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
37,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
38,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
39,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
40,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
41,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
42,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
43,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
44,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
45,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
46,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
47,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
48,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
49,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
50,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
51,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
52,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
53,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
54,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
55,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
56,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
57,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
58,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
59,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
60,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
61,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
62,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
63,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
64,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
65,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
66,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
67,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
68,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
69,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
70,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
71,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
72,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
73,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
74,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
75,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
76,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
77,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
78,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
79,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
80,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
