team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,2548,31.85,0.1943,503,6.2875,2442,65875.7,823.4463,1947780.79,0.0,4929,21211,36793.5,14.4401,343,2810,9
raspberry,macaron,마카롱,2808,35.1,0.2141,0,0.0,2819,0.0,0.0,284910.12,521721.48,0,3771,25040.0,8.9174,0,946,11
raspberry,pie,파이,4955,61.9375,0.3778,1635,20.4375,4641,169706.69,2121.3336,736988.44,0.0,5863,5945,61370.5,12.3856,523,1416,12
raspberry,scone,스콘,746,9.325,0.0569,1407,17.5875,658,139013.39,1737.6674,249653.69,0.0,2210,1299,14166.0,18.9893,212,500,8
raspberry,tart,타르트,2059,25.7375,0.157,2034,25.425,1723,345652.16,4320.652,517062.41,0.0,10262,3019,40317.0,19.5809,1563,936,13
blueberry,baumkuchen,바움쿠헨,789,9.8625,0.0704,231,2.8875,508,99995.12,1249.939,155302.77,0.0,3488,5595,25587.5,32.4303,489,276,9
blueberry,pannacotta,판나코타,3094,38.675,0.2759,6806,85.075,2715,1849964.57,23124.5571,61570.17,0.0,2211,1815,39030.0,12.6147,290,623,9
blueberry,pie,파이,6542,81.775,0.5833,3647,45.5875,4229,1152721.97,14409.0246,423138.41,0.0,22575,13705,213390.5,32.6185,4339,1454,8
blueberry,scone,스콘,191,2.3875,0.017,1085,13.5625,80,279606.23,3495.0779,23768.54,0.0,2168,718,10705.0,56.0471,398,108,8
blueberry,tarte_tatin,타르트·타탱,599,7.4875,0.0534,514,6.425,258,354107.57,4426.3446,56468.05,0.0,4803,1431,31570.5,52.7053,1092,180,5
