match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,0,0,time
1,2,blueberry,180.0,-2,0,0,time
1,3,blueberry,180.0,-3,0,0,time
2,1,blueberry,180.0,-3,0,0,time
2,2,blueberry,180.0,-1,0,0,time
3,1,blueberry,180.0,-3,0,0,time
3,2,raspberry,180.0,1,0,0,time
3,3,raspberry,136.5,3,0,0,raspberry_full_control
4,1,raspberry,180.0,1,0,0,time
4,2,raspberry,143.0,3,0,0,raspberry_full_control
5,1,raspberry,180.0,1,0,0,time
5,2,raspberry,156.0,3,0,0,raspberry_full_control
6,1,raspberry,154.0,3,0,0,raspberry_full_control
6,2,raspberry,180.0,3,0,0,time
7,1,blueberry,180.0,-2,0,0,time
7,2,blueberry,180.0,-2,0,0,time
8,1,raspberry,180.0,1,0,0,time
8,2,blueberry,180.0,-2,0,0,time
8,3,raspberry,165.0,3,0,0,raspberry_full_control
9,1,raspberry,180.0,3,0,0,time
9,2,raspberry,180.0,0,0,0,time
10,1,blueberry,180.0,-1,0,0,time
10,2,blueberry,180.0,-2,0,0,time
11,1,raspberry,147.0,3,0,0,raspberry_full_control
11,2,raspberry,180.0,3,0,0,time
12,1,raspberry,180.0,0,0,0,time
12,2,raspberry,180.0,1,0,1,time
13,1,blueberry,180.0,-2,0,0,time
13,2,raspberry,180.0,1,0,0,time
13,3,raspberry,180.0,2,0,0,time
14,1,raspberry,180.0,1,0,0,time
14,2,raspberry,180.0,2,0,0,time
15,1,raspberry,154.5,3,0,0,raspberry_full_control
15,2,raspberry,180.0,0,0,0,time
16,1,blueberry,180.0,0,0,0,time
16,2,raspberry,167.0,3,0,0,raspberry_full_control
16,3,raspberry,180.0,3,0,0,time
17,1,raspberry,175.0,3,0,0,raspberry_full_control
17,2,raspberry,180.0,0,0,0,time
18,1,raspberry,141.5,3,0,0,raspberry_full_control
18,2,raspberry,180.0,3,0,0,time
19,1,raspberry,180.0,3,0,0,time
19,2,raspberry,145.0,3,0,0,raspberry_full_control
20,1,raspberry,170.0,3,0,0,raspberry_full_control
20,2,blueberry,180.0,-1,0,0,time
20,3,raspberry,158.0,3,0,0,raspberry_full_control
21,1,raspberry,180.0,3,0,0,time
21,2,raspberry,180.0,1,0,0,time
22,1,raspberry,180.0,2,0,0,time
22,2,raspberry,180.0,2,0,0,time
23,1,raspberry,180.0,2,0,0,time
23,2,blueberry,180.0,-2,0,0,time
23,3,raspberry,180.0,1,0,0,time
24,1,raspberry,180.0,3,0,0,time
24,2,raspberry,172.0,3,0,0,raspberry_full_control
25,1,raspberry,177.0,3,0,0,raspberry_full_control
25,2,blueberry,180.0,-3,0,0,time
25,3,blueberry,66.0,-1,0,0,raspberry_full_control
26,1,raspberry,180.0,2,0,0,time
26,2,raspberry,180.0,2,0,0,time
27,1,raspberry,144.5,3,0,0,raspberry_full_control
27,2,raspberry,180.0,1,0,0,time
28,1,raspberry,180.0,2,0,0,time
28,2,raspberry,169.5,3,0,0,raspberry_full_control
29,1,raspberry,154.5,3,0,0,raspberry_full_control
29,2,raspberry,180.0,0,0,0,time
30,1,blueberry,180.0,-2,0,0,time
30,2,raspberry,180.0,1,0,0,time
30,3,raspberry,180.0,2,0,0,time
31,1,raspberry,180.0,2,0,0,time
31,2,raspberry,180.0,3,0,0,time
32,1,raspberry,180.0,2,0,0,time
32,2,raspberry,180.0,2,0,0,time
33,1,raspberry,180.0,0,0,0,time
33,2,raspberry,180.0,2,0,0,time
34,1,raspberry,180.0,3,0,0,time
34,2,raspberry,148.0,3,0,0,raspberry_full_control
35,1,blueberry,180.0,-1,0,0,time
35,2,raspberry,180.0,1,0,0,time
35,3,blueberry,180.0,-1,0,0,time
36,1,blueberry,132.5,-3,0,0,blueberry_full_control
36,2,blueberry,180.0,-1,0,0,time
37,1,raspberry,180.0,0,0,0,time
37,2,raspberry,180.0,3,0,0,time
38,1,raspberry,180.0,3,0,0,time
38,2,raspberry,180.0,3,0,0,time
39,1,raspberry,180.0,2,0,0,time
39,2,raspberry,180.0,3,0,0,time
40,1,raspberry,180.0,2,0,0,time
40,2,raspberry,167.0,3,0,0,raspberry_full_control
41,1,raspberry,180.0,3,0,0,time
41,2,blueberry,180.0,-2,0,0,time
41,3,raspberry,180.0,1,0,0,time
42,1,raspberry,180.0,2,0,0,time
42,2,raspberry,180.0,2,0,0,time
43,1,blueberry,180.0,-2,0,0,time
43,2,raspberry,180.0,3,0,0,time
43,3,blueberry,180.0,-1,0,0,time
44,1,blueberry,180.0,-3,0,0,time
44,2,raspberry,172.5,3,0,0,raspberry_full_control
44,3,blueberry,180.0,-2,0,0,time
45,1,raspberry,180.0,3,0,0,time
45,2,blueberry,180.0,-2,0,0,time
45,3,raspberry,130.0,3,0,0,raspberry_full_control
46,1,raspberry,180.0,2,0,0,time
46,2,raspberry,180.0,2,0,0,time
47,1,raspberry,180.0,3,0,0,time
47,2,raspberry,180.0,0,0,0,time
48,1,raspberry,161.5,3,0,0,raspberry_full_control
48,2,blueberry,180.0,-2,0,0,time
48,3,raspberry,180.0,1,0,0,time
