team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,632,7.9,0.0645,77,0.9625,426,11389.33,142.3666,329069.62,0.0,847,3076,18620.0,29.462,94,121,4
raspberry,macaron,마카롱,1261,15.7625,0.1286,0,0.0,965,0.0,0.0,97547.54,142881.87,0,1278,24627.0,19.5297,0,78,3
raspberry,pie,파이,3255,40.6875,0.332,828,10.35,2123,74742.9,934.2862,347228.95,0.0,2668,2593,101676.5,31.237,635,163,4
raspberry,scone,스콘,1420,17.75,0.1449,2235,27.9375,783,209966.31,2624.5789,302664.8,0.0,3451,1074,58197.0,40.9838,677,188,5
raspberry,tart,타르트,3235,40.4375,0.33,3763,47.0375,1433,516268.24,6453.3531,436568.44,0.0,21904,2318,149200.5,46.1207,7937,346,4
blueberry,baumkuchen,바움쿠헨,550,6.875,0.0638,87,1.0875,501,35923.29,449.0412,146559.51,0.0,1255,4955,10074.0,18.3164,99,823,12
blueberry,pannacotta,판나코타,2871,35.8875,0.3332,4179,52.2375,2791,975487.64,12193.5955,141723.31,0.0,1163,5201,18336.0,6.3866,59,3019,16
blueberry,pie,파이,4598,57.475,0.5336,927,11.5875,4240,287159.65,3589.4956,413215.26,0.0,5665,15224,72588.5,15.787,554,4588,15
blueberry,scone,스콘,180,2.25,0.0209,393,4.9125,164,98919.39,1236.4924,41032.6,0.0,738,1419,3780.0,21.0,58,422,14
blueberry,tarte_tatin,타르트·타탱,418,5.225,0.0485,144,1.8,370,115589.38,1444.8673,69836.09,0.0,1518,2071,9166.5,21.9294,126,491,12
