team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,696,8.7,0.0703,154,1.925,421,22717.89,283.9736,418723.37,0.0,1694,6073,27086.5,38.9174,304,211,5
raspberry,macaron,마카롱,1384,17.3,0.1398,0,0.0,998,0.0,0.0,109104.97,354455.69,0,1836,34445.0,24.888,0,109,6
raspberry,pie,파이,3383,42.2875,0.3416,1020,12.75,1834,123965.65,1549.5706,341789.1,0.0,4235,3606,131381.0,38.8356,1269,288,5
raspberry,scone,스콘,1383,17.2875,0.1397,2659,33.2375,442,340635.72,4257.9466,225501.57,0.0,5175,1625,82280.0,59.4939,1601,309,9
raspberry,tart,타르트,3056,38.2,0.3086,4159,51.9875,743,761804.17,9522.5521,262345.48,0.0,27176,2407,191810.5,62.7652,10758,522,9
blueberry,baumkuchen,바움쿠헨,1455,18.1875,0.1642,180,2.25,1368,83604.78,1045.0598,399173.94,0.0,2904,13136,16966.5,11.6608,173,3907,15
blueberry,pannacotta,판나코타,774,9.675,0.0873,1196,14.95,748,279213.44,3490.168,38627.97,0.0,284,1263,3720.5,4.8068,14,781,14
blueberry,pie,파이,4585,57.3125,0.5174,850,10.625,4274,268127.62,3351.5952,415254.75,0.0,5270,12692,50602.5,11.0365,547,4768,16
blueberry,scone,스콘,731,9.1375,0.0825,1657,20.7125,674,371998.05,4649.9757,168643.77,0.0,2915,5187,11877.0,16.2476,243,2044,17
blueberry,tarte_tatin,타르트·타탱,1317,16.4625,0.1486,555,6.9375,1212,354520.6,4431.5075,227423.01,0.0,4174,6002,22516.5,17.0968,462,2432,15
