team,unit_key,unit_name,produced,produced_per_match,team_production_share,kills,kills_per_match,deaths,damage,damage_per_match,damage_taken,healing,attacks_made,attacks_received,survival_time,avg_survival_time,focus_fire_hits,focus_fire_events,max_focus_attackers
raspberry,baumkuchen,바움쿠헨,340,4.25,0.0475,64,0.8,417,15991.52,199.8939,384572.25,0.0,1166,6198,6691.0,19.6794,46,1240,15
raspberry,macaron,마카롱,5519,68.9875,0.7709,0,0.0,7188,0.0,0.0,860894.94,827975.69,0,15922,57357.5,10.3927,0,6120,16
raspberry,pie,파이,931,11.6375,0.13,533,6.6625,1103,83251.12,1040.639,218447.39,0.0,2724,3169,11871.0,12.7508,178,1435,14
raspberry,scone,스콘,114,1.425,0.0159,337,4.2125,102,47621.43,595.2679,48465.79,0.0,723,552,2492.5,21.864,49,237,15
raspberry,tart,타르트,255,3.1875,0.0356,313,3.9125,231,77793.36,972.417,79433.06,0.0,1489,1167,4411.5,17.3,88,429,11
blueberry,baumkuchen,바움쿠헨,996,12.45,0.1393,259,3.2375,222,111315.15,1391.4394,84900.05,0.0,3885,2650,35908.5,36.0527,1017,103,4
blueberry,pannacotta,판나코타,477,5.9625,0.0667,984,12.3,311,141814.82,1772.6853,2532.99,0.0,292,60,7054.0,14.7883,46,4,3
blueberry,pie,파이,4287,53.5875,0.5997,5266,65.825,858,804166.41,10052.0802,101705.92,0.0,16657,2478,166636.5,38.8702,5951,143,4
blueberry,scone,스콘,412,5.15,0.0576,1679,20.9875,37,202603.41,2532.5427,11365.81,0.0,2115,281,19424.0,47.1456,796,23,3
blueberry,tarte_tatin,타르트·타탱,976,12.2,0.1365,853,10.6625,111,331913.64,4148.9205,24152.65,0.0,4059,633,41455.5,42.4749,1651,88,5
